playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8466141,2015,Roberto Luongo,FLA,G,other,6,586.0,1.49,3.0,13.0,0.72,1.0,1.52,3.0,8.47,9.0,0.11,0.0,4.85,1.0,2.13,3.0,1.41,6.0,3.0,2.0,0.22,0.43,0.84,1.0,0.0,2.0,2.0,0.0,0.0
8466141,2015,Roberto Luongo,FLA,G,all,6,26300.0,17.72,15.0,392.0,14.68,18.0,51.65,71.0,221.2,227.0,7.5,7.0,123.99,83.0,94.29,121.0,17.21,242.0,55.0,13.0,6.89,6.35,4.48,3.0,4.0,8.0,82.0,0.0,0.0
8466141,2015,Roberto Luongo,FLA,G,5on5,6,22325.0,13.13,8.0,323.0,11.44,15.0,43.7,60.0,180.98,185.0,6.57,6.0,100.15,72.0,78.3,96.0,12.73,202.0,43.0,8.0,5.97,4.93,2.23,1.0,3.0,4.0,70.0,0.0,0.0
8466141,2015,Roberto Luongo,FLA,G,4on5,6,1881.0,2.59,4.0,49.0,2.36,1.0,5.89,7.0,28.1,27.0,0.09,0.0,18.04,9.0,10.13,19.0,2.57,29.0,9.0,2.0,0.58,0.99,1.02,1.0,1.0,2.0,9.0,0.0,0.0
8466141,2015,Roberto Luongo,FLA,G,5on4,6,1508.0,0.51,0.0,7.0,0.16,1.0,0.55,1.0,3.65,6.0,0.72,1.0,0.94,1.0,3.73,3.0,0.5,5.0,0.0,1.0,0.13,0.0,0.39,0.0,0.0,0.0,1.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,other,11,1220.0,2.24,3.0,36.0,1.5,2.0,3.42,3.0,17.16,20.0,0.22,1.0,11.19,13.0,6.04,4.0,2.05,15.0,9.0,1.0,0.69,1.13,0.42,1.0,1.0,1.0,11.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,all,11,33287.0,22.25,26.0,496.0,17.6,21.0,58.1,48.0,259.47,257.0,8.32,11.0,147.41,132.0,111.18,129.0,21.36,273.0,79.0,13.0,7.7,9.23,5.32,9.0,10.0,7.0,131.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,5on5,11,26716.0,14.48,16.0,392.0,12.8,12.0,47.84,39.0,204.19,199.0,6.94,8.0,115.49,104.0,89.73,109.0,14.17,223.0,58.0,6.0,6.08,6.75,1.64,7.0,8.0,1.0,105.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,4on5,11,2503.0,5.36,7.0,59.0,3.15,7.0,6.34,5.0,33.62,33.0,0.13,0.0,19.65,14.0,10.45,11.0,4.96,29.0,11.0,6.0,0.84,1.26,3.26,1.0,1.0,5.0,13.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,5on4,11,2848.0,0.18,0.0,9.0,0.14,0.0,0.5,1.0,4.5,5.0,1.02,2.0,1.08,1.0,4.96,5.0,0.18,6.0,1.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8473607,2015,Michal Neuvirth,PHI,G,other,3,681.0,0.18,0.0,16.0,0.52,0.0,0.88,0.0,5.44,5.0,0.15,0.0,3.58,4.0,2.66,3.0,0.18,8.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
8473607,2015,Michal Neuvirth,PHI,G,all,3,10705.0,8.97,2.0,222.0,7.45,12.0,25.75,33.0,109.2,105.0,2.05,0.0,59.54,50.0,47.76,53.0,8.75,119.0,27.0,7.0,3.32,3.3,2.34,1.0,0.0,1.0,69.0,0.0,0.0
8473607,2015,Michal Neuvirth,PHI,G,5on5,3,8585.0,7.53,2.0,174.0,5.68,12.0,21.49,29.0,87.12,82.0,1.67,0.0,46.02,37.0,35.5,38.0,7.32,90.0,23.0,6.0,2.75,2.85,1.92,1.0,0.0,1.0,55.0,0.0,0.0
8473607,2015,Michal Neuvirth,PHI,G,4on5,3,798.0,1.01,0.0,26.0,1.15,0.0,3.05,4.0,14.01,13.0,0.02,0.0,9.15,6.0,6.19,10.0,1.0,18.0,2.0,1.0,0.36,0.22,0.42,0.0,0.0,0.0,5.0,0.0,0.0
8473607,2015,Michal Neuvirth,PHI,G,5on4,3,641.0,0.26,0.0,6.0,0.11,0.0,0.34,0.0,2.63,5.0,0.21,0.0,0.8,3.0,3.4,2.0,0.26,3.0,2.0,0.0,0.03,0.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8470645,2015,Corey Crawford,CHI,G,other,7,548.0,0.27,1.0,10.0,0.31,0.0,1.11,2.0,4.55,4.0,0.7,1.0,2.23,1.0,1.71,2.0,0.26,5.0,1.0,0.0,0.14,0.13,0.0,1.0,0.0,0.0,4.0,0.0,0.0
8470645,2015,Corey Crawford,CHI,G,all,7,26868.0,19.13,19.0,396.0,14.72,13.0,45.3,38.0,206.31,205.0,7.75,12.0,116.86,92.0,84.27,112.0,18.17,211.0,59.0,17.0,6.26,6.87,5.99,8.0,4.0,7.0,109.0,2.0,1.0
8470645,2015,Corey Crawford,CHI,G,5on5,7,22850.0,13.7,13.0,325.0,11.74,13.0,38.7,33.0,171.34,174.0,6.09,11.0,96.84,71.0,71.6,97.0,13.13,179.0,49.0,10.0,5.23,5.76,2.71,7.0,3.0,3.0,87.0,2.0,1.0
8470645,2015,Corey Crawford,CHI,G,4on5,7,1585.0,5.04,5.0,58.0,2.58,0.0,5.26,3.0,28.6,25.0,0.12,0.0,17.24,19.0,9.01,11.0,4.66,24.0,9.0,7.0,0.77,0.98,3.28,0.0,1.0,4.0,18.0,0.0,0.0
8470645,2015,Corey Crawford,CHI,G,5on4,7,1885.0,0.12,0.0,3.0,0.09,0.0,0.23,0.0,1.82,2.0,0.85,0.0,0.55,1.0,1.95,2.0,0.12,3.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474550,2015,Antti Niemi,DAL,G,other,5,451.0,0.47,0.0,10.0,0.41,0.0,1.06,0.0,5.23,2.0,0.15,0.0,3.06,1.0,1.82,4.0,0.46,6.0,1.0,0.0,0.3,0.17,0.0,0.0,0.0,0.0,3.0,0.0,0.0
8474550,2015,Antti Niemi,DAL,G,all,5,14221.0,8.65,13.0,192.0,6.41,6.0,23.28,22.0,99.31,96.0,4.34,3.0,53.48,34.0,40.04,55.0,8.53,101.0,28.0,6.0,2.75,3.7,2.2,4.0,5.0,4.0,57.0,0.0,0.0
8474550,2015,Antti Niemi,DAL,G,5on5,5,12206.0,6.93,11.0,166.0,5.32,5.0,20.7,21.0,85.37,84.0,3.66,3.0,45.76,30.0,34.6,46.0,6.84,87.0,24.0,5.0,2.21,3.26,1.46,4.0,4.0,3.0,50.0,0.0,0.0
8474550,2015,Antti Niemi,DAL,G,4on5,5,591.0,1.17,2.0,14.0,0.65,1.0,1.38,1.0,7.17,9.0,0.02,0.0,4.26,3.0,2.31,3.0,1.16,6.0,3.0,1.0,0.16,0.26,0.74,0.0,1.0,1.0,4.0,0.0,0.0
8474550,2015,Antti Niemi,DAL,G,5on4,5,973.0,0.07,0.0,2.0,0.04,0.0,0.14,0.0,1.53,1.0,0.52,0.0,0.4,0.0,1.3,2.0,0.07,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476883,2015,Andrei Vasilevskiy,TBL,G,other,8,1086.0,2.93,2.0,28.0,1.2,2.0,3.33,2.0,15.97,18.0,0.22,0.0,8.98,8.0,4.98,7.0,2.44,15.0,2.0,5.0,0.6,0.26,2.07,0.0,0.0,2.0,6.0,0.0,0.0
