playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8469548,2013,Ray Emery,PHI,G,other,3,435.0,0.62,0.0,6.0,0.33,1.0,0.68,1.0,3.74,3.0,0.11,0.0,2.03,2.0,1.19,1.0,0.53,2.0,2.0,1.0,0.15,0.23,0.24,0.0,0.0,0.0,1.0,0.0,0.0
8469548,2013,Ray Emery,PHI,G,all,3,10329.0,7.58,10.0,177.0,6.0,6.0,20.97,25.0,92.11,89.0,2.35,0.0,48.91,27.0,37.6,50.0,7.37,90.0,27.0,7.0,2.44,3.15,1.99,2.0,4.0,4.0,53.0,0.0,0.0
8469548,2013,Ray Emery,PHI,G,5on5,3,7796.0,5.63,7.0,130.0,4.41,5.0,16.95,21.0,72.28,69.0,1.91,0.0,37.43,20.0,30.37,38.0,5.53,72.0,19.0,6.0,1.77,2.12,1.74,2.0,1.0,4.0,33.0,0.0,0.0
8469548,2013,Ray Emery,PHI,G,4on5,3,1283.0,1.27,3.0,37.0,1.22,0.0,3.17,3.0,14.68,17.0,0.04,0.0,8.96,5.0,4.85,9.0,1.25,14.0,6.0,0.0,0.47,0.8,0.0,0.0,3.0,0.0,17.0,0.0,0.0
8469548,2013,Ray Emery,PHI,G,5on4,3,815.0,0.05,0.0,4.0,0.05,0.0,0.18,0.0,1.41,0.0,0.3,0.0,0.49,0.0,1.19,2.0,0.05,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8468011,2013,Ryan Miller,STL,G,other,6,547.0,0.33,0.0,6.0,0.15,0.0,0.37,1.0,2.29,3.0,0.28,0.0,1.21,0.0,0.88,2.0,0.33,1.0,2.0,0.0,0.03,0.29,0.0,0.0,0.0,0.0,3.0,0.0,0.0
8468011,2013,Ryan Miller,STL,G,all,6,25348.0,13.36,19.0,364.0,12.31,9.0,41.85,53.0,182.31,185.0,7.04,8.0,103.02,68.0,72.81,97.0,13.06,201.0,37.0,11.0,5.82,4.37,3.17,8.0,7.0,4.0,115.0,0.0,0.0
8468011,2013,Ryan Miller,STL,G,5on5,6,19799.0,11.4,16.0,301.0,9.95,6.0,35.81,44.0,154.29,157.0,5.03,5.0,84.95,59.0,63.16,83.0,11.12,170.0,30.0,10.0,5.17,3.52,2.72,8.0,5.0,3.0,91.0,0.0,0.0
8468011,2013,Ryan Miller,STL,G,4on5,6,2064.0,1.63,3.0,53.0,2.2,3.0,5.67,8.0,25.73,25.0,0.23,0.0,16.86,9.0,8.77,12.0,1.62,30.0,5.0,1.0,0.62,0.55,0.45,0.0,2.0,1.0,17.0,0.0,0.0
8468011,2013,Ryan Miller,STL,G,5on4,6,2938.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,other,7,1232.0,1.45,0.0,18.0,0.68,2.0,2.6,2.0,10.82,14.0,0.29,0.0,4.8,2.0,4.13,8.0,1.38,10.0,2.0,2.0,0.37,0.3,0.79,0.0,0.0,0.0,4.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,all,7,25948.0,16.34,20.0,436.0,15.51,19.0,54.01,51.0,225.22,231.0,5.4,4.0,131.28,95.0,95.39,132.0,15.91,262.0,43.0,15.0,6.77,5.0,4.57,11.0,4.0,5.0,116.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,5on5,7,20152.0,12.3,16.0,349.0,11.82,17.0,44.83,40.0,179.8,183.0,4.05,4.0,105.53,80.0,75.55,101.0,11.99,213.0,34.0,9.0,5.72,3.92,2.67,11.0,3.0,2.0,93.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,4on5,7,2120.0,2.29,3.0,58.0,2.78,0.0,5.63,8.0,28.65,27.0,0.2,0.0,19.0,12.0,10.34,17.0,2.25,31.0,6.0,4.0,0.53,0.65,1.11,0.0,0.0,3.0,17.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,5on4,7,2444.0,0.3,1.0,11.0,0.23,0.0,0.96,1.0,5.94,7.0,0.87,0.0,1.95,1.0,5.37,6.0,0.3,8.0,1.0,0.0,0.16,0.14,0.0,0.0,1.0,0.0,2.0,0.0,0.0
8468524,2013,Ilya Bryzgalov,MIN,G,other,9,1467.0,0.84,2.0,25.0,0.98,1.0,2.78,2.0,12.94,13.0,0.13,0.0,8.59,8.0,4.42,4.0,0.83,14.0,3.0,1.0,0.35,0.26,0.24,0.0,1.0,1.0,7.0,0.0,0.0
8468524,2013,Ilya Bryzgalov,MIN,G,all,9,28762.0,12.75,21.0,376.0,11.83,11.0,44.33,51.0,185.29,182.0,6.88,9.0,103.66,71.0,77.52,91.0,12.42,209.0,37.0,10.0,5.17,4.32,3.25,8.0,9.0,4.0,120.0,0.0,0.0
8468524,2013,Ilya Bryzgalov,MIN,G,5on5,9,23453.0,10.33,16.0,315.0,9.55,10.0,38.51,46.0,157.36,156.0,5.57,8.0,86.06,55.0,67.52,82.0,10.06,181.0,27.0,9.0,4.4,2.92,3.02,8.0,5.0,3.0,98.0,0.0,0.0
8468524,2013,Ilya Bryzgalov,MIN,G,4on5,9,1733.0,1.55,3.0,32.0,1.26,0.0,2.82,3.0,13.54,11.0,0.1,0.0,8.54,7.0,4.38,4.0,1.51,12.0,7.0,0.0,0.41,1.14,0.0,0.0,3.0,0.0,13.0,0.0,0.0
8468524,2013,Ilya Bryzgalov,MIN,G,5on4,9,2109.0,0.02,0.0,4.0,0.04,0.0,0.21,0.0,1.45,2.0,1.07,1.0,0.47,1.0,1.21,1.0,0.02,2.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8471695,2013,Tuukka Rask,BOS,G,other,12,1944.0,2.55,1.0,30.0,1.12,0.0,4.28,3.0,19.24,16.0,0.61,0.0,9.51,7.0,6.91,13.0,2.32,16.0,6.0,3.0,0.46,0.8,1.28,0.0,0.0,1.0,5.0,0.0,0.0
8471695,2013,Tuukka Rask,BOS,G,all,12,45163.0,29.43,25.0,662.0,21.18,14.0,83.7,102.0,351.05,348.0,12.32,18.0,184.68,129.0,147.81,198.0,28.51,377.0,65.0,36.0,9.19,7.89,12.34,7.0,3.0,15.0,184.0,2.0,1.0
