playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470657,2011,Jimmy Howard,DET,G,other,5,872.0,0.78,0.0,13.0,0.48,0.0,1.41,1.0,7.05,4.0,0.27,0.0,4.23,2.0,2.83,7.0,0.76,6.0,3.0,1.0,0.17,0.37,0.24,0.0,0.0,0.0,3.0,0.0,0.0
8470657,2011,Jimmy Howard,DET,G,all,5,17723.0,11.58,13.0,223.0,8.66,6.0,25.51,26.0,117.25,116.0,5.06,7.0,65.86,54.0,47.68,60.0,11.35,122.0,29.0,12.0,3.77,3.42,4.39,5.0,5.0,3.0,60.0,0.0,0.0
8470657,2011,Jimmy Howard,DET,G,5on5,5,12960.0,6.52,11.0,157.0,5.63,3.0,18.9,19.0,81.62,84.0,3.63,2.0,45.62,37.0,34.74,41.0,6.37,89.0,20.0,5.0,2.67,2.34,1.52,5.0,5.0,1.0,43.0,0.0,0.0
8470657,2011,Jimmy Howard,DET,G,4on5,5,1924.0,4.09,2.0,49.0,2.41,3.0,4.89,6.0,25.85,24.0,0.03,0.0,15.41,14.0,7.42,10.0,4.04,24.0,5.0,6.0,0.87,0.6,2.62,0.0,0.0,2.0,14.0,0.0,0.0
8470657,2011,Jimmy Howard,DET,G,5on4,5,1967.0,0.18,0.0,4.0,0.15,0.0,0.3,0.0,2.73,4.0,1.14,5.0,0.6,1.0,2.69,2.0,0.18,3.0,1.0,0.0,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470645,2011,Corey Crawford,CHI,G,other,6,347.0,0.88,2.0,11.0,0.48,1.0,1.36,0.0,6.52,7.0,0.17,0.0,3.32,3.0,2.73,2.0,0.87,6.0,2.0,1.0,0.21,0.2,0.48,1.0,0.0,1.0,2.0,0.0,0.0
8470645,2011,Corey Crawford,CHI,G,all,6,23732.0,12.13,17.0,296.0,11.67,9.0,37.73,31.0,163.8,159.0,7.31,6.0,94.1,76.0,68.02,90.0,11.87,180.0,44.0,5.0,4.94,5.28,1.91,5.0,9.0,3.0,67.0,0.0,0.0
8470645,2011,Corey Crawford,CHI,G,5on5,6,19008.0,8.65,11.0,225.0,8.12,6.0,29.47,26.0,123.77,120.0,5.95,4.0,69.79,54.0,52.0,71.0,8.5,138.0,32.0,2.0,3.87,4.01,0.77,3.0,7.0,1.0,53.0,0.0,0.0
8470645,2011,Corey Crawford,CHI,G,4on5,6,2188.0,2.55,4.0,54.0,3.02,2.0,6.54,5.0,32.07,31.0,0.16,0.0,20.53,18.0,12.28,17.0,2.45,34.0,10.0,2.0,0.81,1.07,0.67,1.0,2.0,1.0,8.0,0.0,0.0
8470645,2011,Corey Crawford,CHI,G,5on4,6,2189.0,0.04,0.0,6.0,0.05,0.0,0.35,0.0,1.44,1.0,1.03,2.0,0.47,1.0,1.0,0.0,0.04,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8469608,2011,Mike Smith,ARI,G,other,16,1527.0,6.3,8.0,45.0,2.21,5.0,5.73,0.0,29.95,32.0,0.55,1.0,15.65,17.0,8.9,9.0,5.05,24.0,6.0,10.0,0.94,0.75,4.61,2.0,2.0,4.0,5.0,2.0,1.0
8469608,2011,Mike Smith,ARI,G,all,16,61609.0,51.85,34.0,1131.0,43.01,51.0,140.21,127.0,614.47,602.0,14.12,13.0,348.27,326.0,253.69,305.0,48.71,664.0,142.0,51.0,16.08,17.77,17.99,15.0,7.0,12.0,274.0,14.0,3.0
8469608,2011,Mike Smith,ARI,G,5on5,16,48282.0,36.6,22.0,887.0,31.85,38.0,113.32,109.0,479.5,464.0,11.41,10.0,267.21,245.0,200.77,243.0,35.27,514.0,121.0,30.0,12.91,15.1,8.59,13.0,5.0,4.0,222.0,12.0,2.0
8469608,2011,Mike Smith,ARI,G,4on5,16,6772.0,7.35,3.0,178.0,8.28,8.0,19.29,15.0,90.9,92.0,0.46,1.0,61.37,62.0,32.62,39.0,6.8,114.0,9.0,9.0,1.96,1.19,4.2,0.0,0.0,3.0,46.0,0.0,0.0
8469608,2011,Mike Smith,ARI,G,5on4,16,5028.0,1.6,1.0,21.0,0.66,0.0,1.87,3.0,14.12,14.0,1.7,1.0,4.04,2.0,11.42,14.0,1.6,12.0,6.0,2.0,0.27,0.73,0.59,0.0,0.0,1.0,1.0,0.0,0.0
8462161,2011,Brent Johnson,PIT,G,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8462161,2011,Brent Johnson,PIT,G,all,1,1200.0,0.56,2.0,10.0,0.39,0.0,1.45,1.0,6.44,6.0,0.38,0.0,3.71,3.0,2.7,3.0,0.56,7.0,2.0,0.0,0.23,0.33,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8462161,2011,Brent Johnson,PIT,G,5on5,1,964.0,0.43,1.0,9.0,0.33,0.0,1.34,1.0,5.68,5.0,0.21,0.0,3.25,3.0,2.48,3.0,0.43,7.0,1.0,0.0,0.23,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8462161,2011,Brent Johnson,PIT,G,4on5,1,116.0,0.13,1.0,1.0,0.06,0.0,0.11,0.0,0.76,1.0,0.0,0.0,0.45,0.0,0.22,0.0,0.13,0.0,1.0,0.0,0.0,0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8462161,2011,Brent Johnson,PIT,G,5on4,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468524,2011,Ilya Bryzgalov,PHI,G,other,11,976.0,0.79,3.0,21.0,0.68,0.0,2.35,0.0,10.17,8.0,0.45,0.0,5.91,8.0,3.88,3.0,0.78,11.0,3.0,0.0,0.4,0.38,0.0,1.0,2.0,0.0,7.0,0.0,0.0
8468524,2011,Ilya Bryzgalov,PHI,G,all,11,38508.0,31.52,37.0,644.0,23.08,25.0,78.55,58.0,344.01,326.0,8.59,12.0,184.09,158.0,136.18,170.0,30.41,349.0,90.0,26.0,10.13,11.22,10.18,8.0,17.0,12.0,179.0,0.0,0.0
8468524,2011,Ilya Bryzgalov,PHI,G,5on5,11,29960.0,21.39,23.0,487.0,16.52,19.0,61.02,45.0,259.53,246.0,6.08,7.0,135.81,115.0,104.91,131.0,20.82,261.0,73.0,14.0,7.9,9.13,4.35,6.0,11.0,6.0,139.0,0.0,0.0
8468524,2011,Ilya Bryzgalov,PHI,G,4on5,11,3781.0,9.08,11.0,124.0,5.63,6.0,14.1,12.0,67.66,64.0,0.41,0.0,40.62,35.0,21.21,28.0,8.55,67.0,14.0,12.0,1.55,1.71,5.83,1.0,4.0,6.0,31.0,0.0,0.0
8468524,2011,Ilya Bryzgalov,PHI,G,5on4,11,3791.0,0.27,0.0,12.0,0.25,0.0,1.08,1.0,6.64,8.0,1.64,5.0,1.76,0.0,6.18,8.0,0.27,10.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8470594,2011,Marc-Andre Fleury,PIT,G,other,6,694.0,2.53,4.0,20.0,0.74,1.0,2.15,1.0,11.9,15.0,0.19,0.0,6.73,6.0,3.43,4.0,2.46,7.0,6.0,3.0,0.27,0.89,1.38,0.0,1.0,3.0,4.0,0.0,0.0
8470594,2011,Marc-Andre Fleury,PIT,G,all,6,20228.0,17.19,26.0,290.0,11.1,16.0,32.38,31.0,156.2,157.0,5.72,11.0,82.03,53.0,62.49,74.0,16.74,139.0,52.0,19.0,4.14,6.63,6.42,3.0,10.0,13.0,80.0,0.0,0.0
8470594,2011,Marc-Andre Fleury,PIT,G,5on5,6,15086.0,8.52,11.0,198.0,6.7,7.0,22.68,26.0,101.33,99.0,4.01,10.0,54.16,33.0,41.86,53.0,8.4,101.0,31.0,5.0,3.16,3.96,1.4,3.0,7.0,1.0,61.0,0.0,0.0
8470594,2011,Marc-Andre Fleury,PIT,G,4on5,6,1875.0,4.76,8.0,56.0,3.15,5.0,6.42,4.0,33.56,30.0,0.04,0.0,18.72,12.0,9.89,12.0,4.54,25.0,11.0,8.0,0.57,1.32,2.87,0.0,1.0,7.0,12.0,0.0,0.0
8470594,2011,Marc-Andre Fleury,PIT,G,5on4,6,2573.0,1.38,3.0,16.0,0.51,3.0,1.13,0.0,9.42,13.0,1.47,1.0,2.42,2.0,7.32,5.0,1.33,6.0,4.0,3.0,0.14,0.46,0.78,0.0,1.0,2.0,3.0,0.0,0.0
8455710,2011,Martin Brodeur,NJD,G,other,24,2312.0,3.26,2.0,55.0,2.19,2.0,6.47,7.0,29.7,29.0,0.63,0.0,18.1,18.0,9.93,11.0,3.09,28.0,9.0,4.0,0.98,1.13,1.16,0.0,1.0,1.0,14.0,0.0,0.0
8455710,2011,Martin Brodeur,NJD,G,all,24,88254.0,51.86,52.0,1162.0,42.02,49.0,143.01,124.0,636.44,629.0,22.59,32.0,346.46,270.0,270.14,362.0,49.95,666.0,166.0,42.0,19.15,19.82,12.9,13.0,22.0,17.0,288.0,0.0,0.0
