playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470147,2008,Curtis McElhinney,CGY,G,other,1,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,all,1,2026.0,0.85,1.0,19.0,0.57,0.0,2.16,1.0,10.02,10.0,0.44,0.0,5.3,6.0,4.86,6.0,0.81,11.0,4.0,0.0,0.43,0.42,0.0,1.0,0.0,0.0,4.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,5on5,1,1462.0,0.77,1.0,17.0,0.49,0.0,1.88,1.0,8.61,9.0,0.31,0.0,4.76,6.0,3.87,4.0,0.74,9.0,4.0,0.0,0.35,0.42,0.0,1.0,0.0,0.0,4.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,4on5,1,202.0,0.03,0.0,1.0,0.06,0.0,0.15,0.0,0.67,1.0,0.0,0.0,0.33,0.0,0.41,1.0,0.03,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,5on4,1,235.0,0.04,0.0,1.0,0.03,0.0,0.12,0.0,0.74,0.0,0.08,0.0,0.21,0.0,0.58,1.0,0.04,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470860,2008,Jaroslav Halak,MTL,G,other,1,120.0,0.16,0.0,2.0,0.07,0.0,0.28,0.0,1.5,2.0,0.07,0.0,0.71,0.0,0.74,2.0,0.16,1.0,1.0,0.0,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470860,2008,Jaroslav Halak,MTL,G,all,1,1200.0,0.85,0.0,11.0,0.45,0.0,1.56,1.0,7.24,5.0,0.35,1.0,3.78,2.0,3.14,7.0,0.85,6.0,3.0,1.0,0.15,0.49,0.21,0.0,0.0,0.0,1.0,0.0,0.0
8470860,2008,Jaroslav Halak,MTL,G,5on5,1,822.0,0.51,0.0,8.0,0.34,0.0,1.21,1.0,5.03,2.0,0.24,1.0,2.84,2.0,1.94,4.0,0.51,5.0,1.0,1.0,0.14,0.17,0.21,0.0,0.0,0.0,1.0,0.0,0.0
8470860,2008,Jaroslav Halak,MTL,G,4on5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470860,2008,Jaroslav Halak,MTL,G,5on4,1,258.0,0.18,0.0,1.0,0.04,0.0,0.07,0.0,0.71,1.0,0.04,0.0,0.22,0.0,0.47,1.0,0.18,0.0,1.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470320,2008,Cam Ward,CAR,G,other,17,1767.0,1.46,0.0,31.0,1.35,2.0,4.33,5.0,20.09,18.0,0.7,1.0,11.48,10.0,8.72,11.0,1.44,22.0,6.0,0.0,0.8,0.66,0.0,0.0,0.0,0.0,3.0,0.0,0.0
8470320,2008,Cam Ward,CAR,G,all,17,62603.0,44.1,46.0,940.0,34.96,41.0,119.46,120.0,519.66,545.0,16.38,12.0,292.71,223.0,218.3,289.0,42.29,576.0,115.0,38.0,18.25,13.79,12.06,18.0,18.0,10.0,211.0,0.0,0.0
8470320,2008,Cam Ward,CAR,G,5on5,17,48800.0,30.56,39.0,717.0,24.94,28.0,93.11,89.0,392.84,411.0,13.13,9.0,217.56,170.0,169.37,215.0,29.7,442.0,83.0,25.0,13.93,9.83,6.8,16.0,15.0,8.0,167.0,0.0,0.0
8470320,2008,Cam Ward,CAR,G,4on5,17,6433.0,11.23,7.0,176.0,8.3,11.0,20.8,25.0,97.92,106.0,0.31,0.0,60.94,43.0,33.63,52.0,10.31,102.0,26.0,11.0,3.15,3.29,4.79,2.0,3.0,2.0,37.0,0.0,0.0
8470320,2008,Cam Ward,CAR,G,5on4,17,5603.0,0.84,0.0,16.0,0.36,0.0,1.23,1.0,8.8,10.0,2.24,2.0,2.72,0.0,6.58,11.0,0.84,10.0,0.0,2.0,0.37,0.0,0.47,0.0,0.0,0.0,4.0,0.0,0.0
8464999,2008,Mathieu Garon,PIT,G,other,1,100.0,0.5,0.0,4.0,0.28,0.0,0.29,1.0,1.99,2.0,0.02,0.0,1.56,2.0,0.28,0.0,0.42,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8464999,2008,Mathieu Garon,PIT,G,all,1,1460.0,1.07,0.0,16.0,0.56,0.0,1.35,2.0,7.82,8.0,0.23,0.0,4.45,5.0,3.35,4.0,0.98,6.0,6.0,0.0,0.2,0.87,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8464999,2008,Mathieu Garon,PIT,G,5on5,1,848.0,0.28,0.0,8.0,0.17,0.0,0.76,1.0,4.31,4.0,0.15,0.0,2.04,3.0,2.61,1.0,0.28,4.0,2.0,0.0,0.09,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8464999,2008,Mathieu Garon,PIT,G,4on5,1,392.0,0.28,0.0,4.0,0.1,0.0,0.31,0.0,1.51,2.0,0.04,0.0,0.85,0.0,0.46,3.0,0.28,2.0,1.0,0.0,0.11,0.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8464999,2008,Mathieu Garon,PIT,G,5on4,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473575,2008,Semyon Varlamov,WSH,G,other,13,1486.0,3.03,3.0,49.0,1.9,1.0,6.16,6.0,27.13,29.0,0.25,0.0,14.61,14.0,10.42,12.0,2.33,28.0,6.0,3.0,0.72,0.81,1.49,1.0,1.0,1.0,12.0,0.0,0.0
8473575,2008,Semyon Varlamov,WSH,G,all,13,45532.0,33.89,32.0,724.0,27.32,23.0,85.96,83.0,393.32,389.0,11.05,24.0,220.87,179.0,167.76,222.0,32.09,417.0,108.0,25.0,12.62,12.54,8.73,14.0,11.0,7.0,174.0,2.0,1.0
8473575,2008,Semyon Varlamov,WSH,G,5on5,13,34284.0,23.18,21.0,540.0,19.52,17.0,65.65,68.0,294.54,282.0,8.48,23.0,162.59,128.0,128.86,168.0,22.59,313.0,84.0,13.0,9.98,9.77,3.43,9.0,8.0,4.0,130.0,2.0,1.0
8473575,2008,Semyon Varlamov,WSH,G,4on5,13,5597.0,7.55,8.0,127.0,5.74,5.0,13.5,8.0,67.14,72.0,0.28,0.0,42.12,36.0,24.08,37.0,7.03,69.0,18.0,9.0,1.79,1.96,3.81,4.0,2.0,2.0,31.0,0.0,0.0
8473575,2008,Semyon Varlamov,WSH,G,5on4,13,4165.0,0.14,0.0,8.0,0.15,0.0,0.64,1.0,4.51,6.0,2.04,1.0,1.55,1.0,4.4,5.0,0.14,7.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8465161,2008,Steve Valiquette,NYR,G,other,2,257.0,0.13,0.0,1.0,0.07,0.0,0.1,0.0,0.77,0.0,0.21,0.0,0.36,0.0,0.32,1.0,0.13,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8465161,2008,Steve Valiquette,NYR,G,all,2,2400.0,1.53,0.0,22.0,1.13,1.0,2.68,1.0,13.22,9.0,0.63,0.0,7.38,9.0,4.83,5.0,1.4,10.0,7.0,1.0,0.25,0.96,0.32,0.0,0.0,0.0,4.0,0.0,0.0
8465161,2008,Steve Valiquette,NYR,G,5on5,2,1312.0,0.97,0.0,15.0,0.73,1.0,1.68,0.0,8.98,5.0,0.27,0.0,4.88,6.0,3.47,4.0,0.85,7.0,4.0,1.0,0.15,0.49,0.32,0.0,0.0,0.0,3.0,0.0,0.0
8465161,2008,Steve Valiquette,NYR,G,4on5,2,320.0,0.43,0.0,6.0,0.33,0.0,0.9,1.0,3.46,4.0,0.01,0.0,2.14,3.0,1.04,0.0,0.42,3.0,2.0,0.0,0.09,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8465161,2008,Steve Valiquette,NYR,G,5on4,2,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470645,2008,Corey Crawford,CHI,G,other,1,36.0,0.33,1.0,2.0,0.14,0.0,0.2,0.0,1.44,1.0,0.0,0.0,1.01,1.0,0.27,0.0,0.33,1.0,0.0,1.0,0.01,0.0,0.32,0.0,0.0,1.0,0.0,0.0,0.0
8470645,2008,Corey Crawford,CHI,G,all,1,955.0,0.54,1.0,10.0,0.48,0.0,1.35,3.0,6.45,7.0,0.19,0.0,4.14,2.0,2.27,3.0,0.54,7.0,1.0,1.0,0.12,0.11,0.32,0.0,0.0,1.0,1.0,0.0,0.0
8470645,2008,Corey Crawford,CHI,G,5on5,1,782.0,0.19,0.0,5.0,0.17,0.0,0.69,2.0,2.9,4.0,0.19,0.0,1.75,0.0,1.11,2.0,0.19,3.0,1.0,0.0,0.08,0.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0
