team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2014,NYR,NYR,Team Level,other,19,0.51,0.55,0.55,3462.0,19.23,3.03,1.3,3.3,0.66,12.05,7.65,2.98,3.03,2.98,20.0,8.0,19.0,47.0,2.0,0.0,0.0,5.0,1.0,11.0,9.0,18.0,26.0,1.0,2.0,18.0,12.0,4.0,10.0,16.0,9.0,3.0,0.66,1.15,1.23,0.0,1.0,1.0,47.0,28.0,28.0,7.0,0.36,0.0,0.0,3.39,3.39,3.33,16.49,2.92,1.16,3.05,0.55,9.66,5.67,2.84,2.92,2.84,16.0,7.0,16.0,39.0,2.0,0.0,0.0,4.0,0.0,10.0,7.0,14.0,21.0,0.0,0.0,29.0,15.0,4.0,6.0,13.0,5.0,5.0,0.49,0.58,1.84,0.0,1.0,1.0,39.0,23.0,23.0,4.0,0.35,0.0,0.0,3.26,3.26,3.17
NYR,2014,NYR,NYR,Team Level,all,19,0.5,0.51,0.51,70720.0,574.87,53.46,40.01,126.35,18.83,331.32,237.09,51.65,53.97,52.12,587.0,221.0,322.0,1130.0,45.0,39.0,18.0,124.0,21.0,282.0,297.0,542.0,763.0,64.0,131.0,538.0,598.0,142.0,222.0,585.0,184.0,39.0,17.7,21.69,14.08,13.0,11.0,21.0,1135.47,808.0,814.65,117.0,8.72,10.74,10.79,51.33,51.62,50.58,566.48,54.51,39.12,126.16,18.06,308.79,233.38,52.58,54.47,52.53,570.0,210.0,292.0,1072.0,41.0,45.0,13.0,128.0,16.0,255.0,295.0,529.0,739.0,75.0,151.0,620.0,577.0,113.0,178.0,567.0,157.0,56.0,16.61,18.82,19.08,7.0,16.0,18.0,1063.15,780.0,775.22,112.0,8.5,12.07,12.89,50.13,50.12,49.07
NYR,2014,NYR,NYR,Team Level,5on5,19,0.47,0.49,0.49,56253.0,451.23,36.42,30.03,102.51,14.56,255.44,190.11,35.32,36.92,35.78,451.0,179.0,252.0,882.0,30.0,25.0,10.0,100.0,18.0,224.0,233.0,421.0,600.0,59.0,121.0,416.0,560.0,110.0,177.0,474.0,132.0,24.0,13.83,15.56,7.02,10.0,9.0,11.0,887.47,630.0,636.65,106.0,6.18,6.0,6.05,36.48,36.77,36.26,475.87,41.38,32.26,110.34,15.22,260.33,195.47,39.92,41.35,39.87,475.0,180.0,247.0,902.0,29.0,40.0,10.0,113.0,15.0,220.0,238.0,446.0,626.0,68.0,137.0,499.0,539.0,84.0,144.0,485.0,134.0,36.0,14.61,16.07,10.71,7.0,13.0,9.0,893.15,655.0,650.22,100.0,6.69,9.68,9.93,38.14,38.13,37.36
NYR,2014,NYR,NYR,Team Level,4on5,19,0.12,0.2,0.18,4897.0,12.86,1.25,0.69,1.66,0.37,4.04,9.99,1.24,1.25,1.24,17.0,1.0,8.0,26.0,0.0,0.0,0.0,2.0,0.0,1.0,15.0,17.0,18.0,1.0,2.0,45.0,15.0,21.0,4.0,11.0,6.0,1.0,0.25,0.81,0.2,0.0,0.0,0.0,26.0,18.0,18.0,4.0,0.16,0.0,0.0,1.41,1.41,1.4,59.78,9.07,5.05,11.25,1.87,34.78,19.98,8.79,9.07,8.79,61.0,21.0,25.0,107.0,9.0,5.0,2.0,9.0,0.0,20.0,39.0,52.0,73.0,5.0,10.0,34.0,7.0,7.0,22.0,54.0,14.0,14.0,1.17,1.67,6.24,0.0,2.0,7.0,107.0,82.0,82.0,2.0,1.32,2.39,2.66,7.73,7.73,7.56
NYR,2014,NYR,NYR,Team Level,5on4,19,0.92,0.88,0.87,6108.0,91.55,12.76,7.99,18.88,3.23,59.79,29.34,12.12,12.76,12.12,99.0,33.0,43.0,175.0,13.0,14.0,8.0,17.0,2.0,46.0,40.0,86.0,119.0,3.0,6.0,59.0,11.0,7.0,31.0,84.0,37.0,11.0,2.96,4.17,5.63,3.0,1.0,9.0,175.0,132.0,132.0,0.0,2.02,4.74,4.74,10.05,10.05,9.59,14.34,1.14,0.65,1.52,0.42,4.01,12.26,1.04,1.14,1.04,18.0,2.0,4.0,24.0,1.0,0.0,1.0,2.0,1.0,5.0,11.0,17.0,19.0,2.0,4.0,58.0,16.0,18.0,6.0,15.0,4.0,1.0,0.34,0.5,0.29,0.0,0.0,1.0,24.0,20.0,20.0,6.0,0.15,0.0,0.29,1.0,1.0,0.99
NYI,2014,NYI,NYI,Team Level,other,7,0.85,0.55,0.58,567.0,5.1,2.13,0.27,0.7,0.15,2.27,1.48,2.12,2.13,2.12,6.0,1.0,5.0,12.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,2.0,2.0,0.13,0.27,1.73,0.0,0.0,2.0,12.0,7.0,7.0,1.0,0.08,0.0,0.0,2.21,2.21,2.2,3.52,0.38,0.23,0.59,0.12,2.08,1.6,0.36,0.38,0.36,4.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,0.0,0.0,6.0,2.0,1.0,1.0,2.0,3.0,0.0,0.04,0.33,0.0,0.0,0.0,0.0,10.0,5.0,5.0,1.0,0.07,0.0,0.0,0.44,0.44,0.43
NYI,2014,NYI,NYI,Team Level,all,7,0.5,0.5,0.51,25884.0,223.13,17.21,14.37,52.42,7.45,125.41,99.15,16.89,17.45,17.13,199.0,117.0,129.0,445.0,15.0,7.0,2.0,58.0,8.0,112.0,116.0,184.0,301.0,16.0,35.0,183.0,317.0,76.0,81.0,257.0,47.0,12.0,7.05,5.93,4.22,9.0,2.0,4.0,451.39,316.0,321.55,56.0,3.06,1.59,1.59,18.68,18.98,18.74,222.36,17.45,14.76,51.1,7.13,121.12,96.45,16.88,17.19,16.63,221.0,87.0,144.0,452.0,16.0,9.0,3.0,59.0,5.0,97.0,122.0,205.0,292.0,18.0,39.0,233.0,313.0,61.0,73.0,241.0,55.0,12.0,6.78,6.74,3.93,6.0,6.0,4.0,443.77,308.0,302.62,45.0,3.16,2.92,3.4,17.21,16.94,16.63
NYI,2014,NYI,NYI,Team Level,5on5,7,0.47,0.49,0.51,22241.0,193.35,13.23,11.61,46.77,6.49,108.09,87.81,13.01,13.48,13.26,169.0,105.0,109.0,383.0,13.0,6.0,2.0,52.0,7.0,99.0,97.0,156.0,261.0,16.0,35.0,154.0,302.0,61.0,75.0,226.0,39.0,9.0,6.12,4.84,2.27,9.0,2.0,2.0,389.39,274.0,279.55,52.0,2.37,1.56,1.56,14.04,14.34,14.23,194.49,15.04,12.06,45.79,6.23,104.44,84.44,14.56,14.77,14.31,190.0,78.0,124.0,392.0,14.0,8.0,3.0,55.0,5.0,80.0,106.0,176.0,254.0,18.0,39.0,204.0,303.0,53.0,64.0,213.0,46.0,9.0,6.25,5.62,3.16,6.0,5.0,3.0,383.77,268.0,262.62,40.0,2.48,2.67,3.14,14.38,14.1,13.85
NYI,2014,NYI,NYI,Team Level,4on5,7,0.07,0.1,0.11,1402.0,3.04,0.16,0.11,0.52,0.09,0.88,2.24,0.16,0.16,0.16,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,12.0,7.0,8.0,2.0,4.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,2.0,0.03,0.0,0.0,0.19,0.19,0.19,23.0,2.01,2.42,4.6,0.74,14.33,7.89,1.94,2.01,1.94,25.0,7.0,15.0,47.0,2.0,1.0,0.0,4.0,0.0,13.0,12.0,23.0,30.0,0.0,0.0,11.0,4.0,3.0,4.0,23.0,6.0,3.0,0.46,0.78,0.77,0.0,1.0,1.0,47.0,32.0,32.0,0.0,0.6,0.26,0.26,2.36,2.36,2.32
NYI,2014,NYI,NYI,Team Level,5on4,7,0.99,0.94,0.91,1674.0,21.63,1.68,2.38,4.44,0.72,14.17,7.62,1.59,1.68,1.59,22.0,9.0,14.0,45.0,0.0,1.0,0.0,3.0,1.0,13.0,13.0,22.0,31.0,0.0,0.0,12.0,3.0,2.0,3.0,24.0,6.0,1.0,0.64,0.82,0.22,0.0,0.0,0.0,45.0,31.0,31.0,1.0,0.58,0.03,0.03,2.24,2.24,2.12,1.35,0.03,0.05,0.12,0.04,0.26,2.51,0.03,0.03,0.03,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,12.0,4.0,4.0,4.0,3.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.01,0.0,0.0,0.04,0.04,0.04
