team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2015,NYR,NYR,Team Level,other,5,0.23,0.31,0.28,830.0,5.43,0.79,0.42,0.95,0.19,3.1,1.55,0.72,0.79,0.72,7.0,0.0,4.0,11.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,6.0,2.0,4.0,8.0,5.0,1.0,2.0,5.0,1.0,1.0,0.09,0.1,0.59,0.0,0.0,1.0,11.0,7.0,7.0,1.0,0.15,0.0,0.0,0.94,0.94,0.86,13.52,2.58,1.01,2.36,0.43,6.82,4.8,2.52,2.58,2.52,14.0,4.0,6.0,24.0,3.0,0.0,0.0,0.0,1.0,10.0,4.0,11.0,15.0,1.0,2.0,12.0,4.0,2.0,2.0,8.0,7.0,3.0,0.24,0.84,1.49,0.0,1.0,2.0,24.0,18.0,18.0,0.0,0.26,0.0,0.0,2.83,2.83,2.76
NYR,2015,NYR,NYR,Team Level,all,5,0.43,0.53,0.52,18000.0,156.44,12.74,10.34,36.46,5.08,90.08,67.3,12.38,12.63,12.27,154.0,68.0,88.0,310.0,10.0,11.0,3.0,37.0,8.0,83.0,73.0,144.0,212.0,27.0,59.0,177.0,224.0,30.0,38.0,180.0,30.0,12.0,4.95,3.63,4.17,4.0,2.0,4.0,301.25,222.0,217.74,12.0,2.32,2.76,2.76,12.31,12.16,11.85,150.03,16.72,10.77,33.74,4.91,80.66,59.2,16.31,16.97,16.56,153.0,53.0,71.0,277.0,21.0,12.0,3.0,26.0,7.0,69.0,71.0,132.0,185.0,24.0,55.0,158.0,143.0,29.0,40.0,143.0,44.0,19.0,4.35,5.09,7.27,5.0,6.0,10.0,286.25,206.0,211.33,15.0,2.41,2.76,2.98,16.15,16.36,16.03
NYR,2015,NYR,NYR,Team Level,5on5,5,0.48,0.55,0.54,13812.0,122.01,8.79,7.63,29.45,3.94,68.55,52.63,8.67,8.69,8.56,118.0,53.0,71.0,242.0,7.0,9.0,2.0,32.0,7.0,63.0,53.0,111.0,164.0,24.0,53.0,138.0,203.0,25.0,25.0,141.0,23.0,7.0,4.19,2.92,1.68,3.0,2.0,2.0,233.25,171.0,166.74,8.0,1.57,1.89,1.89,8.48,8.33,8.28,106.57,9.37,7.17,25.43,3.51,57.39,43.13,9.21,9.63,9.46,114.0,32.0,54.0,200.0,10.0,7.0,2.0,24.0,5.0,46.0,54.0,104.0,136.0,21.0,47.0,115.0,121.0,25.0,25.0,111.0,25.0,10.0,3.38,2.96,3.02,3.0,3.0,4.0,209.25,146.0,151.33,13.0,1.49,2.07,2.3,8.56,8.77,8.66
NYR,2015,NYR,NYR,Team Level,4on5,5,0.05,0.12,0.15,1621.0,3.57,0.24,0.12,0.43,0.11,0.91,4.18,0.24,0.24,0.24,5.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,19.0,12.0,1.0,3.0,5.0,1.0,0.0,0.15,0.1,0.0,1.0,0.0,0.0,6.0,6.0,6.0,3.0,0.03,0.0,0.0,0.27,0.27,0.27,25.45,4.37,2.35,5.42,0.86,14.96,7.04,4.18,4.37,4.18,21.0,14.0,10.0,45.0,7.0,5.0,1.0,2.0,1.0,12.0,8.0,14.0,28.0,2.0,6.0,15.0,5.0,0.0,12.0,20.0,9.0,6.0,0.68,0.94,2.75,2.0,1.0,4.0,45.0,35.0,35.0,1.0,0.61,0.68,0.68,4.3,4.3,4.15
NYR,2015,NYR,NYR,Team Level,5on4,5,0.88,0.86,0.84,1737.0,25.45,2.92,2.17,5.62,0.85,17.52,8.93,2.75,2.92,2.75,24.0,14.0,13.0,51.0,1.0,2.0,1.0,3.0,0.0,18.0,14.0,23.0,37.0,1.0,2.0,12.0,4.0,3.0,8.0,29.0,5.0,4.0,0.52,0.5,1.9,0.0,0.0,1.0,51.0,38.0,38.0,0.0,0.57,0.87,0.87,2.62,2.62,2.44,4.48,0.39,0.24,0.53,0.13,1.48,4.23,0.39,0.39,0.39,4.0,3.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,6.0,0.0,0.0,16.0,13.0,2.0,1.0,4.0,3.0,0.0,0.05,0.34,0.0,0.0,1.0,0.0,8.0,7.0,7.0,1.0,0.06,0.0,0.0,0.45,0.45,0.45
NYI,2015,NYI,NYI,Team Level,other,11,0.43,0.36,0.36,1340.0,9.89,2.49,0.79,1.66,0.32,5.41,2.33,2.42,2.49,2.42,10.0,3.0,3.0,16.0,4.0,1.0,1.0,3.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,18.0,8.0,1.0,3.0,7.0,3.0,3.0,0.29,0.43,1.78,1.0,0.0,3.0,16.0,13.0,13.0,1.0,0.23,0.38,0.38,2.35,2.35,2.33,16.28,3.3,1.1,3.07,0.54,8.75,6.24,3.09,3.3,3.09,14.0,9.0,6.0,29.0,3.0,1.0,0.0,2.0,1.0,9.0,7.0,11.0,20.0,1.0,2.0,14.0,6.0,3.0,3.0,16.0,1.0,6.0,0.68,0.12,2.5,0.0,0.0,3.0,29.0,23.0,23.0,0.0,0.3,0.62,0.62,2.99,2.99,2.85
NYI,2015,NYI,NYI,Team Level,all,11,0.48,0.47,0.48,44614.0,363.14,30.81,23.81,85.67,12.83,202.75,154.13,29.81,30.64,29.63,364.0,146.0,142.0,652.0,26.0,25.0,4.0,105.0,5.0,150.0,199.0,338.0,484.0,47.0,92.0,378.0,445.0,94.0,151.0,389.0,96.0,25.0,10.77,10.98,9.05,6.0,9.0,11.0,642.84,510.0,505.01,94.0,5.22,4.94,4.94,31.09,30.84,30.09,391.79,32.73,25.8,90.42,12.81,223.28,167.97,31.79,33.01,32.06,392.0,161.0,188.0,741.0,32.0,20.0,6.0,100.0,12.0,176.0,213.0,360.0,521.0,49.0,98.0,349.0,359.0,106.0,127.0,435.0,94.0,24.0,13.87,10.69,8.17,13.0,10.0,9.0,749.14,553.0,557.61,76.0,5.59,4.38,4.59,33.73,33.96,33.34
NYI,2015,NYI,NYI,Team Level,5on5,11,0.46,0.46,0.47,36329.0,289.96,21.42,18.22,71.17,10.02,160.06,124.1,20.87,21.25,20.7,290.0,115.0,120.0,525.0,14.0,21.0,3.0,89.0,3.0,118.0,160.0,276.0,391.0,42.0,82.0,290.0,422.0,80.0,120.0,318.0,73.0,14.0,9.34,8.29,3.79,4.0,6.0,4.0,515.84,405.0,400.01,78.0,3.74,3.81,3.81,21.35,21.1,20.79,327.14,25.31,21.05,77.4,10.66,185.14,140.44,24.69,25.6,24.96,329.0,131.0,158.0,618.0,24.0,19.0,6.0,88.0,9.0,145.0,175.0,305.0,436.0,41.0,82.0,282.0,330.0,86.0,105.0,361.0,84.0,15.0,11.67,9.45,4.2,11.0,9.0,4.0,626.14,460.0,464.61,66.0,4.35,3.76,3.98,25.68,25.92,25.55
NYI,2015,NYI,NYI,Team Level,4on5,11,0.15,0.15,0.17,3389.0,7.77,0.65,0.28,1.2,0.47,1.95,7.45,0.63,0.65,0.63,11.0,1.0,2.0,14.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,11.0,12.0,3.0,6.0,35.0,7.0,11.0,11.0,11.0,0.0,1.0,0.26,0.0,0.39,0.0,0.0,0.0,14.0,12.0,12.0,11.0,0.07,0.39,0.39,0.33,0.33,0.33,40.98,3.74,3.35,8.74,1.39,27.0,14.77,3.64,3.74,3.64,40.0,19.0,22.0,81.0,5.0,0.0,0.0,7.0,2.0,22.0,23.0,35.0,54.0,5.0,10.0,26.0,7.0,4.0,7.0,48.0,8.0,3.0,1.24,1.03,1.47,2.0,1.0,2.0,81.0,59.0,59.0,0.0,0.88,0.0,0.0,4.62,4.62,4.5
NYI,2015,NYI,NYI,Team Level,5on4,11,0.94,0.88,0.88,3556.0,55.53,6.24,4.52,11.64,2.01,35.33,20.26,5.88,6.24,5.88,53.0,27.0,17.0,97.0,8.0,2.0,0.0,12.0,1.0,28.0,29.0,45.0,72.0,2.0,4.0,35.0,8.0,2.0,17.0,53.0,20.0,7.0,0.88,2.27,3.1,1.0,3.0,4.0,97.0,80.0,80.0,4.0,1.18,0.36,0.36,7.07,7.07,6.65,7.38,0.37,0.29,1.22,0.22,2.38,6.52,0.37,0.37,0.37,9.0,2.0,2.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,9.0,11.0,2.0,4.0,27.0,16.0,13.0,12.0,10.0,1.0,0.0,0.28,0.09,0.0,0.0,0.0,0.0,13.0,11.0,11.0,10.0,0.07,0.0,0.0,0.44,0.44,0.44
