team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2017,PIT,PIT,Team Level,other,12,0.44,0.53,0.53,2296.0,25.5,4.78,1.67,5.12,0.78,12.46,9.19,4.75,4.78,4.75,26.0,8.0,11.0,45.0,6.0,3.0,0.0,8.0,1.0,7.0,9.0,20.0,28.0,4.0,11.0,29.0,9.0,3.0,5.0,17.0,10.0,7.0,0.6,1.08,3.09,2.0,1.0,3.0,45.0,34.0,34.0,2.0,0.45,0.65,0.65,4.58,4.58,4.56,20.5,6.04,1.3,3.79,0.74,10.87,7.26,5.89,6.04,5.89,20.0,10.0,10.0,40.0,6.0,2.0,1.0,3.0,1.0,9.0,9.0,14.0,24.0,5.0,13.0,20.0,19.0,3.0,5.0,17.0,5.0,8.0,0.77,0.65,4.61,0.0,0.0,6.0,40.0,30.0,30.0,3.0,0.35,0.58,0.58,5.8,5.8,5.74
PIT,2017,PIT,PIT,Team Level,all,12,0.52,0.51,0.52,43527.0,351.44,33.78,25.01,80.49,11.7,202.32,148.69,32.77,34.11,33.09,349.0,153.0,178.0,680.0,42.0,28.0,5.0,88.0,13.0,165.0,166.0,307.0,460.0,47.0,102.0,365.0,363.0,83.0,118.0,374.0,97.0,31.0,10.74,11.62,11.43,15.0,13.0,14.0,687.22,502.0,505.51,68.0,5.5,6.66,6.66,32.63,32.99,32.27,323.53,31.49,21.37,72.69,10.57,177.7,144.19,30.68,31.44,30.63,319.0,139.0,203.0,661.0,34.0,17.0,5.0,71.0,10.0,156.0,170.0,285.0,424.0,54.0,114.0,328.0,453.0,73.0,112.0,344.0,86.0,28.0,10.19,10.67,10.63,11.0,8.0,15.0,657.43,458.0,457.72,57.0,4.67,3.36,3.36,32.8,32.76,32.3
PIT,2017,PIT,PIT,Team Level,5on5,12,0.53,0.51,0.52,33586.0,266.28,21.61,18.1,64.28,8.88,153.35,115.78,21.18,21.95,21.5,265.0,117.0,140.0,522.0,28.0,19.0,2.0,73.0,12.0,119.0,131.0,237.0,354.0,37.0,79.0,267.0,331.0,71.0,87.0,291.0,74.0,17.0,8.36,8.73,4.52,13.0,9.0,6.0,529.22,382.0,385.51,54.0,3.74,3.75,3.75,21.6,21.96,21.66,249.23,19.25,15.76,59.29,8.11,136.97,109.63,18.81,19.2,18.76,241.0,108.0,161.0,510.0,21.0,11.0,3.0,61.0,8.0,115.0,133.0,220.0,328.0,45.0,93.0,252.0,406.0,59.0,92.0,272.0,64.0,13.0,8.15,7.92,3.18,10.0,7.0,4.0,506.43,349.0,348.72,48.0,3.25,2.09,2.09,20.4,20.36,20.12
PIT,2017,PIT,PIT,Team Level,4on5,12,0.05,0.11,0.14,3575.0,5.67,0.24,0.15,0.65,0.16,1.28,6.51,0.24,0.24,0.24,8.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,9.0,1.0,2.0,31.0,18.0,7.0,9.0,8.0,1.0,0.0,0.09,0.15,0.0,0.0,0.0,0.0,10.0,9.0,9.0,9.0,0.04,0.0,0.0,0.28,0.28,0.28,39.53,5.05,3.74,7.7,1.26,26.27,12.97,4.93,5.05,4.93,38.0,19.0,28.0,85.0,6.0,1.0,0.0,5.0,1.0,27.0,17.0,32.0,51.0,3.0,6.0,18.0,10.0,3.0,11.0,38.0,14.0,5.0,0.97,1.78,2.3,1.0,1.0,4.0,85.0,57.0,57.0,2.0,0.95,0.01,0.01,6.0,6.0,5.85
PIT,2017,PIT,PIT,Team Level,5on4,12,0.86,0.8,0.78,4070.0,53.99,7.14,5.09,10.45,1.88,35.22,17.22,6.6,7.14,6.6,50.0,27.0,26.0,103.0,8.0,6.0,3.0,7.0,0.0,38.0,18.0,42.0,69.0,5.0,10.0,38.0,5.0,2.0,17.0,58.0,12.0,7.0,1.68,1.65,3.81,0.0,3.0,5.0,103.0,77.0,77.0,3.0,1.28,2.26,2.26,6.16,6.16,5.78,14.28,1.15,0.57,1.91,0.45,3.59,14.33,1.04,1.15,1.04,20.0,2.0,4.0,26.0,1.0,3.0,1.0,2.0,0.0,5.0,11.0,19.0,21.0,1.0,2.0,38.0,18.0,8.0,4.0,17.0,3.0,2.0,0.29,0.32,0.54,0.0,0.0,1.0,26.0,22.0,22.0,4.0,0.13,0.68,0.68,0.6,0.6,0.6
NSH,2017,NSH,NSH,Team Level,other,13,0.52,0.48,0.49,2401.0,25.59,7.17,1.76,4.24,0.78,12.99,7.07,6.84,7.17,6.84,22.0,12.0,11.0,45.0,6.0,3.0,2.0,4.0,2.0,10.0,9.0,16.0,28.0,0.0,0.0,21.0,8.0,6.0,3.0,21.0,3.0,10.0,0.83,0.29,6.04,1.0,0.0,5.0,45.0,34.0,34.0,1.0,0.51,1.91,1.91,5.77,5.77,5.73,25.51,6.71,1.67,4.55,0.78,13.57,7.72,6.52,6.71,6.52,28.0,7.0,13.0,48.0,14.0,1.0,0.0,6.0,1.0,9.0,4.0,14.0,21.0,0.0,0.0,32.0,9.0,0.0,4.0,20.0,4.0,11.0,0.71,0.44,5.57,3.0,1.0,10.0,48.0,35.0,35.0,2.0,0.5,0.38,0.38,6.83,6.83,6.63
NSH,2017,NSH,NSH,Team Level,all,13,0.52,0.53,0.54,48337.0,464.38,42.63,30.72,104.91,14.49,253.41,197.84,41.55,42.77,41.68,466.0,178.0,223.0,867.0,41.0,32.0,6.0,112.0,26.0,205.0,228.0,425.0,603.0,52.0,107.0,461.0,341.0,115.0,161.0,494.0,109.0,41.0,13.83,13.49,15.31,15.0,12.0,14.0,867.35,644.0,646.48,106.0,6.72,6.59,7.0,42.35,42.37,41.73,403.24,39.94,26.5,87.79,12.99,214.8,170.97,38.77,40.17,38.99,410.0,143.0,212.0,765.0,42.0,27.0,5.0,101.0,8.0,156.0,219.0,368.0,511.0,49.0,101.0,376.0,322.0,79.0,128.0,412.0,101.0,40.0,11.58,12.56,15.79,9.0,13.0,20.0,767.12,553.0,553.57,80.0,5.8,7.07,7.07,38.66,38.91,38.3
NSH,2017,NSH,NSH,Team Level,5on5,13,0.51,0.52,0.53,38995.0,370.32,27.62,23.96,88.6,11.73,204.13,156.97,26.99,27.76,27.13,368.0,145.0,184.0,697.0,27.0,27.0,4.0,90.0,22.0,162.0,185.0,341.0,486.0,44.0,91.0,360.0,312.0,99.0,143.0,410.0,81.0,22.0,11.36,10.19,6.07,12.0,9.0,6.0,697.35,513.0,515.48,100.0,4.94,4.48,4.89,27.67,27.69,27.24,332.05,26.98,21.02,75.1,10.83,174.74,145.33,26.2,27.22,26.43,328.0,126.0,183.0,637.0,24.0,22.0,4.0,79.0,7.0,133.0,189.0,304.0,430.0,40.0,83.0,287.0,295.0,76.0,104.0,347.0,83.0,24.0,9.49,10.58,6.92,6.0,11.0,7.0,639.12,454.0,454.57,68.0,4.33,5.53,5.53,25.78,26.03,25.77
NSH,2017,NSH,NSH,Team Level,4on5,13,0.19,0.29,0.33,3528.0,18.32,1.41,0.77,2.38,0.52,4.85,17.06,1.41,1.41,1.41,23.0,4.0,2.0,29.0,1.0,1.0,0.0,2.0,1.0,4.0,18.0,22.0,26.0,6.0,12.0,37.0,16.0,9.0,5.0,19.0,7.0,1.0,0.26,0.95,0.2,0.0,1.0,0.0,29.0,27.0,27.0,5.0,0.18,0.02,0.02,1.57,1.57,1.57,40.6,6.05,3.61,7.63,1.25,25.08,12.38,5.85,6.05,5.85,46.0,10.0,15.0,71.0,4.0,4.0,1.0,14.0,0.0,14.0,20.0,42.0,52.0,7.0,14.0,31.0,7.0,1.0,12.0,38.0,13.0,5.0,1.31,1.43,3.31,0.0,1.0,3.0,71.0,56.0,56.0,2.0,0.92,1.16,1.16,5.81,5.81,5.65
NSH,2017,NSH,NSH,Team Level,5on4,13,0.97,0.91,0.9,3413.0,50.16,6.43,4.23,9.69,1.46,31.44,16.75,6.29,6.43,6.29,53.0,17.0,26.0,96.0,7.0,1.0,0.0,16.0,1.0,29.0,16.0,46.0,63.0,2.0,4.0,43.0,5.0,1.0,10.0,44.0,18.0,8.0,1.38,2.06,3.0,2.0,2.0,3.0,96.0,70.0,70.0,0.0,1.09,0.18,0.18,7.34,7.34,7.18,5.07,0.19,0.21,0.5,0.14,1.41,5.54,0.19,0.19,0.19,8.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,8.0,2.0,4.0,26.0,11.0,2.0,8.0,7.0,1.0,0.0,0.09,0.11,0.0,0.0,0.0,0.0,9.0,8.0,8.0,8.0,0.05,0.0,0.0,0.24,0.24,0.24
