team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2009,BOS,BOS,Team Level,other,13,0.71,0.56,0.54,1919.0,17.75,4.54,1.14,2.74,0.58,10.2,6.8,4.5,4.54,4.5,18.0,8.0,9.0,35.0,6.0,1.0,1.0,0.0,2.0,10.0,7.0,12.0,20.0,7.0,28.0,27.0,8.0,4.0,1.0,17.0,5.0,4.0,0.68,0.68,3.18,2.0,1.0,3.0,35.0,26.0,26.0,0.0,0.36,0.56,0.56,4.34,4.34,4.32,15.74,1.85,0.9,3.22,0.52,7.88,7.64,1.82,1.85,1.82,17.0,5.0,5.0,27.0,4.0,0.0,0.0,4.0,1.0,5.0,8.0,13.0,18.0,10.0,23.0,21.0,8.0,2.0,4.0,14.0,6.0,2.0,0.34,0.62,0.88,1.0,2.0,1.0,27.0,22.0,22.0,1.0,0.24,0.0,0.09,1.99,1.99,1.97
BOS,2009,BOS,BOS,Team Level,all,13,0.51,0.53,0.53,50173.0,421.42,37.25,26.07,95.94,13.92,228.27,186.55,36.49,36.95,36.2,414.0,174.0,221.0,809.0,36.0,20.0,6.0,86.0,9.0,204.0,233.0,378.0,552.0,67.0,151.0,426.0,409.0,86.0,84.0,453.0,107.0,28.0,12.76,13.37,11.12,8.0,14.0,14.0,797.8,588.0,580.94,45.0,5.72,4.58,5.71,37.27,37.01,36.54,387.56,36.26,24.97,88.75,12.58,201.59,161.85,34.99,36.53,35.26,410.0,116.0,196.0,722.0,37.0,24.0,5.0,85.0,8.0,153.0,219.0,373.0,489.0,58.0,124.0,357.0,449.0,85.0,132.0,380.0,107.0,39.0,10.83,12.78,12.64,12.0,14.0,11.0,731.48,526.0,531.55,60.0,5.51,5.56,5.63,36.14,36.34,35.66
BOS,2009,BOS,BOS,Team Level,5on5,13,0.48,0.53,0.53,39486.0,333.55,24.65,19.66,79.79,11.09,179.76,146.05,24.11,24.35,23.82,320.0,141.0,183.0,644.0,20.0,15.0,2.0,70.0,4.0,166.0,186.0,300.0,441.0,46.0,95.0,327.0,362.0,67.0,71.0,363.0,83.0,15.0,10.25,10.23,4.17,6.0,10.0,4.0,632.8,461.0,453.94,41.0,4.05,2.59,3.47,25.23,24.97,24.65,308.5,26.19,19.01,73.25,9.96,158.49,129.1,25.48,26.47,25.75,325.0,91.0,164.0,580.0,29.0,20.0,5.0,72.0,7.0,120.0,168.0,296.0,387.0,44.0,93.0,271.0,405.0,74.0,104.0,306.0,85.0,25.0,8.93,10.34,6.93,11.0,12.0,6.0,589.48,416.0,421.55,52.0,3.96,4.59,4.57,25.57,25.78,25.48
BOS,2009,BOS,BOS,Team Level,4on5,13,0.14,0.21,0.24,4856.0,15.75,1.28,0.72,1.97,0.46,4.31,15.27,1.28,1.28,1.28,17.0,7.0,4.0,28.0,0.0,0.0,0.0,3.0,1.0,3.0,17.0,17.0,24.0,5.0,10.0,36.0,31.0,13.0,3.0,19.0,4.0,1.0,0.47,0.59,0.21,0.0,0.0,0.0,28.0,24.0,24.0,3.0,0.17,0.0,0.0,1.44,1.44,1.44,57.06,8.01,4.89,11.42,1.93,33.66,18.09,7.48,8.01,7.48,59.0,19.0,25.0,103.0,4.0,4.0,0.0,9.0,0.0,28.0,33.0,55.0,74.0,3.0,6.0,41.0,14.0,2.0,18.0,50.0,16.0,12.0,1.36,1.81,4.83,0.0,0.0,4.0,103.0,78.0,78.0,2.0,1.28,0.97,0.97,8.32,8.32,7.95
BOS,2009,BOS,BOS,Team Level,5on4,13,0.97,0.89,0.89,3912.0,54.38,6.78,4.55,11.45,1.79,33.99,18.44,6.6,6.78,6.6,59.0,18.0,25.0,102.0,10.0,4.0,3.0,13.0,2.0,25.0,23.0,49.0,67.0,9.0,18.0,36.0,8.0,2.0,9.0,54.0,15.0,8.0,1.35,1.88,3.55,0.0,3.0,7.0,102.0,77.0,77.0,1.0,1.15,1.43,1.68,6.26,6.26,6.12,6.27,0.21,0.17,0.86,0.17,1.57,7.02,0.21,0.21,0.21,9.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0,1.0,2.0,24.0,22.0,7.0,6.0,10.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,12.0,10.0,10.0,5.0,0.04,0.0,0.0,0.25,0.25,0.25
COL,2009,COL,COL,Team Level,other,6,0.31,0.48,0.52,1122.0,10.17,0.76,0.5,2.23,0.3,5.2,5.01,0.76,0.76,0.76,12.0,2.0,2.0,16.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,12.0,14.0,1.0,2.0,6.0,6.0,5.0,0.0,11.0,2.0,1.0,0.25,0.22,0.29,0.0,0.0,0.0,16.0,14.0,14.0,0.0,0.14,0.0,0.0,0.9,0.9,0.9,7.55,1.73,0.39,1.34,0.23,3.48,3.96,1.73,1.73,1.73,10.0,3.0,4.0,17.0,3.0,0.0,0.0,4.0,0.0,4.0,2.0,7.0,10.0,0.0,0.0,13.0,4.0,3.0,2.0,9.0,2.0,2.0,0.37,0.26,1.1,0.0,1.0,2.0,17.0,13.0,13.0,0.0,0.1,0.0,0.0,1.7,1.7,1.7
COL,2009,COL,COL,Team Level,all,6,0.31,0.37,0.38,22597.0,131.39,11.34,8.79,29.56,4.19,69.47,60.23,11.14,11.34,11.14,149.0,57.0,69.0,275.0,11.0,10.0,1.0,34.0,3.0,60.0,88.0,138.0,195.0,30.0,63.0,174.0,188.0,43.0,49.0,173.0,23.0,10.0,5.81,2.84,2.68,5.0,4.0,2.0,272.72,206.0,204.99,26.0,1.96,0.87,0.87,10.86,10.89,10.75,186.33,24.81,13.31,42.18,6.14,103.58,75.62,23.8,24.97,23.96,245.0,87.0,128.0,460.0,19.0,26.0,3.0,71.0,4.0,102.0,110.0,226.0,313.0,22.0,44.0,203.0,179.0,43.0,58.0,255.0,56.0,21.0,10.61,6.89,7.3,5.0,5.0,9.0,465.14,332.0,335.3,23.0,2.96,4.21,4.21,19.32,19.34,18.72
COL,2009,COL,COL,Team Level,5on5,6,0.35,0.38,0.39,17719.0,98.25,7.75,6.0,22.68,3.12,52.68,45.88,7.67,7.75,7.67,107.0,47.0,47.0,201.0,9.0,8.0,1.0,24.0,2.0,41.0,70.0,98.0,145.0,28.0,59.0,132.0,167.0,30.0,41.0,132.0,19.0,3.0,4.67,2.42,0.66,4.0,4.0,1.0,198.72,154.0,152.99,22.0,1.23,0.82,0.82,7.06,7.09,7.06,135.47,14.3,8.93,31.76,4.35,74.91,58.95,13.91,14.47,14.07,171.0,68.0,95.0,334.0,11.0,18.0,3.0,48.0,1.0,72.0,89.0,160.0,228.0,17.0,34.0,140.0,164.0,36.0,41.0,195.0,35.0,9.0,7.56,4.13,2.62,4.0,3.0,4.0,339.14,239.0,242.3,22.0,1.82,3.01,3.01,10.24,10.27,10.14
COL,2009,COL,COL,Team Level,4on5,6,0.05,0.08,0.08,2489.0,3.25,0.47,0.13,0.48,0.1,0.89,3.06,0.47,0.47,0.47,6.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,6.0,7.0,0.0,0.0,22.0,11.0,8.0,3.0,6.0,0.0,1.0,0.18,0.0,0.28,0.0,0.0,0.0,10.0,7.0,7.0,3.0,0.03,0.0,0.0,0.37,0.37,0.37,43.31,8.78,4.0,9.07,1.56,25.19,12.71,8.16,8.78,8.16,64.0,16.0,29.0,109.0,5.0,8.0,0.0,19.0,3.0,26.0,19.0,59.0,75.0,4.0,8.0,40.0,6.0,1.0,14.0,51.0,19.0,10.0,2.68,2.51,3.58,1.0,1.0,3.0,109.0,80.0,80.0,0.0,1.04,1.2,1.2,7.38,7.38,6.89
COL,2009,COL,COL,Team Level,5on4,6,1.0,1.0,1.0,1267.0,19.72,2.35,2.17,4.18,0.66,10.69,6.28,2.25,2.35,2.25,24.0,7.0,17.0,48.0,2.0,2.0,0.0,6.0,1.0,14.0,6.0,22.0,29.0,1.0,2.0,14.0,4.0,0.0,5.0,24.0,2.0,5.0,0.7,0.2,1.45,1.0,0.0,1.0,48.0,31.0,31.0,1.0,0.57,0.06,0.06,2.54,2.54,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
