team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2012,MIN,MIN,Team Level,other,5,0.06,0.5,0.5,1382.0,1.94,0.06,0.13,0.39,0.06,1.36,1.0,0.06,0.06,0.06,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.03,0.0,0.0,0.1,0.1,0.1,1.91,0.95,0.2,0.34,0.1,0.98,0.42,0.92,0.95,0.92,3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.08,0.0,0.88,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.06,0.48,0.48,0.53,0.53,0.53
MIN,2012,MIN,MIN,Team Level,all,5,0.45,0.46,0.46,19130.0,137.11,9.78,10.07,32.32,4.87,77.22,53.73,9.38,9.69,9.28,139.0,49.0,68.0,256.0,7.0,14.0,2.0,32.0,5.0,63.0,67.0,132.0,181.0,17.0,34.0,169.0,165.0,31.0,39.0,153.0,27.0,8.0,4.06,3.3,2.41,3.0,3.0,1.0,249.62,188.0,185.13,30.0,2.26,2.43,2.43,9.61,9.53,9.31,158.64,12.17,10.08,38.24,4.99,87.37,66.16,11.89,12.34,12.07,169.0,50.0,79.0,298.0,17.0,11.0,6.0,48.0,4.0,47.0,92.0,152.0,202.0,19.0,38.0,168.0,121.0,47.0,39.0,175.0,32.0,12.0,4.43,3.9,3.84,5.0,5.0,7.0,308.73,219.0,224.63,30.0,2.14,3.24,3.24,11.06,11.19,11.05
MIN,2012,MIN,MIN,Team Level,5on5,5,0.42,0.41,0.42,14340.0,100.46,6.99,6.42,23.85,3.12,55.67,40.95,6.79,6.89,6.69,105.0,32.0,48.0,185.0,7.0,8.0,2.0,25.0,2.0,47.0,48.0,98.0,130.0,15.0,30.0,133.0,161.0,26.0,34.0,111.0,20.0,6.0,2.82,2.4,1.77,3.0,3.0,1.0,178.62,137.0,134.13,26.0,1.32,1.64,1.64,6.66,6.58,6.5,138.79,9.52,8.62,34.4,4.34,76.72,57.4,9.34,9.69,9.52,145.0,46.0,70.0,261.0,13.0,9.0,5.0,42.0,4.0,45.0,78.0,132.0,178.0,17.0,34.0,137.0,114.0,39.0,27.0,155.0,28.0,8.0,3.91,3.42,2.19,5.0,4.0,4.0,271.73,191.0,196.63,20.0,1.78,2.33,2.33,8.97,9.1,9.01
MIN,2012,MIN,MIN,Team Level,4on5,5,0.15,0.11,0.14,1454.0,2.22,0.21,0.12,0.23,0.06,0.81,1.57,0.21,0.21,0.21,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,13.0,1.0,3.0,2.0,2.0,1.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.03,0.0,0.0,0.23,0.23,0.23,12.82,1.22,1.02,2.76,0.4,8.06,4.54,1.16,1.22,1.16,15.0,3.0,7.0,25.0,1.0,1.0,0.0,6.0,0.0,2.0,8.0,14.0,17.0,1.0,2.0,11.0,1.0,3.0,2.0,13.0,4.0,1.0,0.3,0.48,0.44,0.0,1.0,0.0,25.0,18.0,18.0,0.0,0.25,0.44,0.44,1.03,1.03,0.98
MIN,2012,MIN,MIN,Team Level,5on4,5,0.84,0.88,0.87,1954.0,32.49,2.52,3.4,7.85,1.64,19.39,10.21,2.32,2.52,2.32,29.0,16.0,20.0,65.0,0.0,6.0,0.0,5.0,3.0,15.0,16.0,29.0,45.0,1.0,2.0,20.0,3.0,1.0,3.0,37.0,6.0,2.0,1.05,0.83,0.64,0.0,0.0,0.0,65.0,45.0,45.0,2.0,0.88,0.79,0.79,2.61,2.61,2.47,5.12,0.47,0.23,0.75,0.14,1.61,3.79,0.47,0.47,0.47,6.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,1.0,2.0,18.0,6.0,5.0,10.0,6.0,0.0,1.0,0.14,0.0,0.33,0.0,0.0,1.0,9.0,7.0,7.0,10.0,0.06,0.0,0.0,0.53,0.53,0.53
BOS,2012,BOS,BOS,Team Level,other,22,0.5,0.46,0.43,3078.0,27.99,4.42,1.83,6.28,0.88,14.44,10.15,4.33,4.42,4.33,34.0,4.0,16.0,54.0,6.0,4.0,1.0,5.0,2.0,10.0,11.0,28.0,32.0,3.0,6.0,39.0,24.0,2.0,3.0,28.0,3.0,7.0,0.9,0.34,3.18,2.0,0.0,4.0,54.0,38.0,38.0,2.0,0.48,0.85,0.85,4.04,4.04,3.99,37.52,4.4,2.03,7.99,1.12,19.0,16.47,4.25,4.4,4.25,43.0,8.0,13.0,64.0,2.0,1.0,0.0,9.0,1.0,21.0,17.0,41.0,49.0,0.0,0.0,32.0,24.0,6.0,9.0,34.0,11.0,6.0,0.99,1.33,2.08,0.0,1.0,1.0,64.0,51.0,51.0,2.0,0.54,0.21,0.21,4.72,4.72,4.57
BOS,2012,BOS,BOS,Team Level,all,22,0.51,0.51,0.51,88380.0,773.96,65.18,49.49,180.85,25.58,422.14,325.77,63.2,65.53,63.52,782.0,287.0,384.0,1453.0,65.0,48.0,14.0,193.0,24.0,359.0,380.0,717.0,1004.0,91.0,197.0,799.0,845.0,146.0,214.0,818.0,195.0,56.0,22.84,23.66,18.68,27.0,13.0,25.0,1462.43,1069.0,1074.59,92.0,10.7,11.17,11.53,64.35,64.7,63.56,758.93,63.16,48.33,177.71,24.02,410.75,314.03,60.17,63.25,60.23,762.0,276.0,363.0,1401.0,47.0,48.0,14.0,185.0,21.0,329.0,408.0,715.0,991.0,85.0,188.0,647.0,883.0,191.0,249.0,811.0,173.0,54.0,22.16,21.15,19.85,16.0,13.0,18.0,1391.68,1038.0,1033.67,141.0,10.47,13.49,14.22,59.41,59.34,58.55
BOS,2012,BOS,BOS,Team Level,5on5,22,0.52,0.51,0.51,71909.0,631.53,47.2,38.58,151.71,20.69,344.97,268.85,45.93,47.55,46.26,631.0,241.0,317.0,1189.0,47.0,36.0,11.0,167.0,19.0,289.0,314.0,584.0,825.0,79.0,170.0,617.0,764.0,125.0,182.0,684.0,158.0,30.0,18.88,19.32,9.0,23.0,11.0,13.0,1198.43,872.0,877.59,76.0,7.9,7.51,7.86,47.24,47.59,47.05,616.16,44.26,37.91,149.82,19.68,333.7,257.63,43.1,44.34,43.16,610.0,233.0,299.0,1142.0,35.0,33.0,9.0,159.0,13.0,270.0,333.0,575.0,808.0,73.0,161.0,524.0,805.0,160.0,195.0,669.0,146.0,28.0,18.59,17.92,7.75,15.0,10.0,10.0,1132.68,843.0,838.67,121.0,7.79,6.77,7.51,44.54,44.46,43.98
BOS,2012,BOS,BOS,Team Level,4on5,22,0.15,0.15,0.18,7044.0,19.51,2.33,0.99,2.19,0.53,5.36,16.61,2.33,2.33,2.33,19.0,9.0,3.0,31.0,1.0,0.0,0.0,1.0,1.0,4.0,21.0,18.0,27.0,4.0,11.0,71.0,44.0,16.0,13.0,19.0,4.0,5.0,0.41,0.58,1.33,0.0,0.0,1.0,31.0,28.0,28.0,13.0,0.23,0.0,0.0,2.56,2.56,2.56,94.0,13.62,7.88,18.57,2.91,55.08,28.93,11.93,13.62,11.93,93.0,34.0,47.0,174.0,8.0,14.0,5.0,16.0,7.0,36.0,46.0,85.0,119.0,11.0,25.0,43.0,27.0,4.0,28.0,95.0,13.0,19.0,2.37,1.49,9.75,1.0,1.0,6.0,174.0,127.0,127.0,4.0,2.03,6.5,6.5,9.15,9.15,9.0
BOS,2012,BOS,BOS,Team Level,5on4,22,0.93,0.9,0.89,6349.0,94.93,11.23,8.09,20.67,3.48,57.37,30.17,10.61,11.23,10.61,98.0,33.0,48.0,179.0,11.0,8.0,2.0,20.0,2.0,56.0,34.0,87.0,120.0,5.0,10.0,72.0,13.0,3.0,16.0,87.0,30.0,14.0,2.64,3.42,5.17,2.0,2.0,7.0,179.0,131.0,131.0,1.0,2.09,2.81,2.81,10.51,10.51,9.96,11.25,0.89,0.51,1.33,0.3,2.97,10.99,0.89,0.89,0.89,16.0,1.0,4.0,21.0,2.0,0.0,0.0,1.0,0.0,2.0,12.0,14.0,15.0,1.0,2.0,48.0,27.0,21.0,17.0,13.0,3.0,1.0,0.22,0.4,0.27,0.0,1.0,1.0,21.0,17.0,17.0,14.0,0.12,0.0,0.0,1.0,1.0,1.0
