team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2018,NYI,NYI,Team Level,other,8,0.6,0.59,0.61,1579.0,16.48,3.3,1.34,2.58,0.54,10.19,7.04,3.24,3.3,3.24,18.0,7.0,4.0,29.0,2.0,1.0,0.0,3.0,5.0,9.0,5.0,16.0,23.0,1.0,2.0,21.0,7.0,1.0,6.0,16.0,5.0,4.0,0.58,0.6,2.12,0.0,0.0,2.0,29.0,25.0,25.0,4.0,0.37,0.0,0.0,3.67,3.67,3.59,11.49,2.16,0.79,2.04,0.37,6.89,3.75,2.14,2.16,2.14,11.0,5.0,4.0,20.0,3.0,0.0,0.0,1.0,0.0,3.0,9.0,8.0,13.0,0.0,0.0,13.0,5.0,4.0,5.0,10.0,4.0,2.0,0.32,0.4,1.44,1.0,0.0,2.0,20.0,16.0,16.0,2.0,0.25,0.0,0.0,2.41,2.41,2.39
NYI,2018,NYI,NYI,Team Level,all,8,0.53,0.48,0.48,29323.0,241.66,26.35,17.6,52.41,8.43,132.71,103.52,24.71,26.37,24.74,245.0,96.0,126.0,467.0,19.0,18.0,3.0,52.0,15.0,114.0,123.0,226.0,322.0,30.0,62.0,233.0,330.0,57.0,129.0,231.0,86.0,24.0,6.95,10.02,9.38,6.0,5.0,8.0,469.01,341.0,344.14,72.0,3.91,3.41,3.41,26.86,26.87,25.42,255.78,23.62,17.61,57.67,8.26,148.78,111.06,22.96,23.58,22.92,245.0,122.0,140.0,507.0,19.0,13.0,3.0,41.0,11.0,135.0,148.0,226.0,348.0,32.0,64.0,215.0,295.0,64.0,120.0,277.0,68.0,22.0,8.0,7.8,7.83,5.0,6.0,8.0,503.92,367.0,364.37,59.0,3.83,2.39,2.39,25.06,25.03,24.5
NYI,2018,NYI,NYI,Team Level,5on5,8,0.49,0.46,0.46,23063.0,179.78,16.04,12.48,41.27,6.28,98.86,77.07,15.53,16.06,15.56,178.0,74.0,102.0,354.0,12.0,13.0,2.0,40.0,8.0,76.0,103.0,166.0,240.0,24.0,48.0,171.0,308.0,46.0,101.0,172.0,69.0,11.0,5.43,7.88,2.73,6.0,3.0,3.0,356.01,252.0,255.14,60.0,2.58,2.4,2.4,16.22,16.23,15.91,209.87,16.43,13.95,48.99,6.82,121.77,93.04,16.04,16.38,16.0,197.0,104.0,109.0,410.0,14.0,11.0,2.0,38.0,10.0,112.0,116.0,183.0,287.0,28.0,56.0,174.0,271.0,48.0,89.0,235.0,53.0,13.0,7.02,6.16,3.25,4.0,6.0,4.0,406.92,301.0,298.37,45.0,2.85,2.03,2.03,17.26,17.23,16.99
NYI,2018,NYI,NYI,Team Level,4on5,8,0.06,0.14,0.2,2306.0,6.57,0.28,0.28,0.71,0.19,1.63,7.91,0.28,0.28,0.28,10.0,1.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,10.0,11.0,1.0,2.0,20.0,12.0,3.0,6.0,10.0,1.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0,11.0,11.0,11.0,6.0,0.07,0.0,0.0,0.35,0.35,0.34,29.94,4.61,2.6,6.12,0.94,18.87,9.86,4.35,4.61,4.35,31.0,12.0,27.0,70.0,2.0,2.0,1.0,2.0,1.0,20.0,16.0,29.0,41.0,2.0,4.0,11.0,3.0,5.0,14.0,28.0,8.0,7.0,0.6,0.89,3.13,0.0,0.0,2.0,70.0,43.0,43.0,1.0,0.67,0.36,0.36,4.91,4.91,4.65
NYI,2018,NYI,NYI,Team Level,5on4,8,0.94,0.91,0.88,2375.0,38.82,6.73,3.49,7.84,1.42,22.02,11.49,5.67,6.73,5.67,39.0,14.0,20.0,73.0,5.0,4.0,1.0,6.0,2.0,28.0,8.0,34.0,48.0,4.0,10.0,21.0,3.0,7.0,16.0,33.0,11.0,9.0,0.79,1.41,4.53,0.0,2.0,3.0,73.0,53.0,53.0,2.0,0.9,1.01,1.01,6.62,6.62,5.57,4.48,0.42,0.27,0.52,0.13,1.25,4.41,0.42,0.42,0.42,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,2.0,4.0,17.0,16.0,7.0,12.0,4.0,3.0,0.0,0.07,0.35,0.0,0.0,0.0,0.0,7.0,7.0,7.0,11.0,0.06,0.0,0.0,0.48,0.48,0.48
BOS,2018,BOS,BOS,Team Level,other,24,0.67,0.52,0.52,3094.0,31.89,13.18,1.94,4.26,1.05,16.53,10.1,12.47,13.18,12.47,30.0,18.0,23.0,71.0,11.0,2.0,1.0,2.0,4.0,12.0,17.0,19.0,37.0,2.0,4.0,31.0,8.0,5.0,8.0,22.0,6.0,20.0,0.83,0.69,11.66,2.0,0.0,9.0,71.0,48.0,48.0,6.0,0.56,0.59,0.59,13.08,13.08,12.38,32.34,6.48,2.47,5.96,1.13,19.1,9.87,6.24,6.48,6.24,29.0,16.0,20.0,65.0,4.0,1.0,0.0,8.0,1.0,22.0,9.0,25.0,41.0,1.0,2.0,38.0,11.0,9.0,11.0,23.0,12.0,10.0,0.89,1.42,4.16,1.0,1.0,2.0,65.0,45.0,45.0,8.0,0.73,0.76,0.76,6.44,6.44,6.21
BOS,2018,BOS,BOS,Team Level,all,24,0.55,0.5,0.51,88368.0,755.78,79.21,49.12,176.16,25.79,411.94,320.85,76.66,79.98,77.42,781.0,283.0,315.0,1379.0,79.0,60.0,13.0,178.0,26.0,301.0,421.0,702.0,985.0,75.0,148.0,755.0,741.0,186.0,215.0,797.0,187.0,80.0,22.99,23.04,33.18,23.0,19.0,37.0,1403.74,1064.0,1080.04,96.0,10.86,13.58,13.58,76.42,77.16,75.43,732.22,64.15,50.19,172.26,24.88,410.24,310.34,61.49,63.82,61.18,744.0,289.0,350.0,1383.0,51.0,50.0,9.0,195.0,24.0,343.0,370.0,693.0,982.0,77.0,159.0,700.0,889.0,245.0,259.0,780.0,197.0,56.0,22.28,23.83,18.04,25.0,11.0,15.0,1361.03,1033.0,1021.71,129.0,11.1,11.28,11.33,63.86,63.53,62.02
BOS,2018,BOS,BOS,Team Level,5on5,24,0.51,0.5,0.51,71796.0,603.17,46.58,37.56,148.63,20.52,328.54,262.17,45.46,47.36,46.22,620.0,224.0,256.0,1100.0,43.0,43.0,6.0,156.0,18.0,237.0,348.0,577.0,801.0,64.0,130.0,599.0,701.0,154.0,175.0,667.0,141.0,36.0,19.04,17.13,10.41,17.0,15.0,11.0,1124.74,844.0,860.04,84.0,7.75,8.55,8.59,45.74,46.48,45.86,567.07,43.94,36.0,139.26,19.41,314.64,243.83,42.64,43.61,42.33,572.0,226.0,283.0,1081.0,40.0,37.0,8.0,155.0,20.0,254.0,292.0,532.0,758.0,69.0,141.0,530.0,821.0,200.0,217.0,626.0,141.0,31.0,18.07,17.19,8.68,23.0,7.0,10.0,1059.03,798.0,786.71,111.0,7.42,7.59,7.64,43.65,43.33,42.67
BOS,2018,BOS,BOS,Team Level,4on5,24,0.11,0.12,0.14,6782.0,16.88,1.44,0.73,2.46,0.48,4.57,15.33,1.41,1.44,1.41,23.0,2.0,2.0,27.0,2.0,2.0,1.0,3.0,1.0,2.0,15.0,21.0,23.0,2.0,4.0,54.0,25.0,17.0,6.0,21.0,2.0,2.0,0.58,0.37,0.49,1.0,0.0,1.0,27.0,25.0,25.0,5.0,0.17,0.33,0.33,1.27,1.27,1.26,112.82,11.85,10.77,24.69,3.79,71.27,36.64,10.72,11.85,10.72,119.0,40.0,45.0,204.0,7.0,11.0,1.0,30.0,3.0,64.0,44.0,112.0,152.0,5.0,12.0,81.0,16.0,15.0,21.0,110.0,35.0,14.0,2.98,3.96,4.9,1.0,3.0,3.0,204.0,159.0,159.0,2.0,2.74,2.64,2.64,11.94,11.94,11.32
BOS,2018,BOS,BOS,Team Level,5on4,24,0.9,0.85,0.83,6696.0,103.84,18.0,8.89,20.81,3.75,62.3,33.25,17.31,18.0,17.31,108.0,39.0,34.0,181.0,23.0,13.0,5.0,17.0,3.0,50.0,41.0,85.0,124.0,7.0,10.0,71.0,7.0,10.0,26.0,87.0,38.0,22.0,2.54,4.85,10.62,3.0,4.0,16.0,181.0,147.0,147.0,1.0,2.39,4.11,4.07,16.32,16.32,15.92,19.98,1.89,0.96,2.35,0.55,5.24,20.01,1.89,1.89,1.89,24.0,7.0,2.0,33.0,0.0,1.0,0.0,2.0,0.0,3.0,25.0,24.0,31.0,2.0,4.0,51.0,41.0,21.0,10.0,21.0,9.0,1.0,0.34,1.27,0.29,0.0,0.0,0.0,33.0,31.0,31.0,8.0,0.21,0.29,0.29,1.82,1.82,1.81
