team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2008,NYR,NYR,Team Level,other,7,0.64,0.57,0.59,1117.0,16.63,1.61,1.1,4.0,0.52,7.6,7.16,1.55,1.61,1.55,17.0,5.0,7.0,29.0,1.0,1.0,0.0,5.0,0.0,6.0,9.0,16.0,21.0,0.0,0.0,15.0,4.0,1.0,1.0,17.0,2.0,3.0,0.46,0.34,0.81,0.0,1.0,0.0,29.0,22.0,22.0,0.0,0.3,0.33,0.33,1.58,1.58,1.57,8.22,0.92,0.6,1.62,0.27,5.35,3.44,0.91,0.92,0.91,6.0,9.0,7.0,22.0,0.0,0.0,0.0,2.0,0.0,7.0,6.0,6.0,15.0,2.0,4.0,14.0,8.0,1.0,4.0,11.0,4.0,0.0,0.42,0.5,0.0,0.0,0.0,0.0,22.0,15.0,15.0,3.0,0.16,0.0,0.0,0.89,0.89,0.88
NYR,2008,NYR,NYR,Team Level,all,7,0.43,0.44,0.44,25200.0,183.4,15.19,12.29,40.93,5.82,102.97,78.8,14.86,15.16,14.83,166.0,90.0,87.0,343.0,11.0,8.0,2.0,44.0,1.0,82.0,110.0,155.0,245.0,39.0,78.0,186.0,218.0,57.0,49.0,198.0,45.0,13.0,5.62,5.29,4.29,2.0,5.0,4.0,337.68,256.0,253.9,31.0,2.74,1.9,2.08,15.85,15.81,15.68,225.24,19.93,16.26,49.07,7.02,128.93,95.05,18.57,20.07,18.71,216.0,104.0,117.0,437.0,19.0,10.0,1.0,53.0,7.0,108.0,123.0,197.0,301.0,38.0,76.0,216.0,198.0,55.0,83.0,247.0,59.0,14.0,7.38,7.05,5.5,10.0,6.0,3.0,440.43,320.0,321.92,54.0,3.6,2.72,2.72,20.55,20.75,19.55
NYR,2008,NYR,NYR,Team Level,5on5,7,0.45,0.45,0.45,17858.0,132.16,10.03,8.6,30.23,4.21,73.63,57.29,9.87,10.0,9.84,113.0,71.0,61.0,245.0,7.0,6.0,2.0,34.0,1.0,53.0,83.0,106.0,177.0,32.0,64.0,129.0,170.0,44.0,36.0,143.0,36.0,5.0,4.35,4.17,1.52,2.0,3.0,2.0,239.68,184.0,181.9,24.0,1.76,1.18,1.36,10.43,10.39,10.3,160.48,12.25,10.68,35.82,4.89,88.82,69.61,11.95,12.38,12.09,151.0,72.0,82.0,305.0,12.0,4.0,0.0,35.0,6.0,71.0,95.0,139.0,211.0,28.0,56.0,147.0,171.0,41.0,64.0,171.0,46.0,6.0,5.27,5.41,1.56,6.0,6.0,0.0,308.43,223.0,224.92,45.0,2.19,1.1,1.1,13.27,13.47,13.23
NYR,2008,NYR,NYR,Team Level,4on5,7,0.02,0.06,0.07,3269.0,3.75,0.13,0.13,0.41,0.1,1.3,3.92,0.13,0.13,0.13,5.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,6.0,1.0,2.0,23.0,24.0,9.0,6.0,6.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,6.0,0.03,0.0,0.0,0.17,0.17,0.17,53.85,6.68,4.88,11.3,1.79,34.02,18.34,5.62,6.68,5.62,55.0,22.0,25.0,102.0,6.0,6.0,1.0,16.0,1.0,29.0,19.0,49.0,71.0,6.0,12.0,31.0,7.0,7.0,10.0,60.0,9.0,8.0,1.6,1.14,3.94,3.0,0.0,3.0,102.0,77.0,77.0,1.0,1.22,1.62,1.62,6.29,6.29,5.32
NYR,2008,NYR,NYR,Team Level,5on4,7,0.97,0.89,0.9,2956.0,30.85,3.42,2.46,6.29,0.98,20.43,10.43,3.3,3.42,3.3,31.0,13.0,18.0,62.0,3.0,1.0,0.0,3.0,0.0,22.0,15.0,28.0,41.0,6.0,12.0,19.0,20.0,3.0,6.0,32.0,7.0,5.0,0.68,0.78,1.96,0.0,1.0,2.0,62.0,44.0,44.0,1.0,0.64,0.38,0.38,3.67,3.67,3.64,2.68,0.09,0.1,0.33,0.08,0.74,3.67,0.09,0.09,0.09,4.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,2.0,4.0,24.0,12.0,6.0,5.0,5.0,0.0,0.0,0.09,0.0,0.0,1.0,0.0,0.0,8.0,5.0,5.0,5.0,0.02,0.0,0.0,0.11,0.11,0.11
DET,2008,DET,DET,Team Level,other,23,0.63,0.56,0.57,3331.0,34.05,6.96,2.23,6.23,1.18,18.05,13.55,6.73,6.96,6.73,31.0,20.0,19.0,70.0,6.0,0.0,0.0,6.0,1.0,18.0,20.0,25.0,45.0,7.0,14.0,50.0,11.0,7.0,10.0,30.0,12.0,9.0,1.3,1.51,4.15,0.0,1.0,5.0,70.0,51.0,51.0,4.0,0.67,0.0,0.0,7.43,7.43,7.16,23.15,4.08,1.42,4.54,0.76,13.12,8.54,3.81,4.08,3.81,30.0,9.0,15.0,54.0,2.0,1.0,0.0,9.0,3.0,17.0,7.0,28.0,37.0,1.0,2.0,29.0,19.0,3.0,15.0,28.0,6.0,5.0,0.97,0.63,2.49,0.0,0.0,2.0,54.0,39.0,39.0,8.0,0.43,0.06,0.06,4.0,4.0,3.74
DET,2008,DET,DET,Team Level,all,23,0.54,0.58,0.57,85939.0,749.88,67.08,49.1,172.24,24.69,429.47,317.01,65.27,67.01,65.2,835.0,319.0,342.0,1496.0,76.0,38.0,15.0,177.0,33.0,393.0,437.0,759.0,1078.0,89.0,200.0,713.0,755.0,143.0,225.0,944.0,160.0,50.0,30.57,18.82,17.68,35.0,15.0,26.0,1498.98,1154.0,1155.32,117.0,10.9,7.27,8.71,62.94,63.01,61.75,573.21,56.84,36.45,128.25,18.66,309.89,246.81,55.01,57.04,55.21,647.0,220.0,232.0,1099.0,48.0,35.0,14.0,146.0,32.0,289.0,317.0,599.0,819.0,112.0,254.0,614.0,735.0,135.0,213.0,678.0,141.0,48.0,21.82,17.07,17.94,15.0,13.0,20.0,1090.89,867.0,863.82,95.0,8.04,10.01,11.38,48.67,48.68,47.69
DET,2008,DET,DET,Team Level,5on5,23,0.52,0.56,0.56,68359.0,557.13,41.68,33.87,133.54,18.27,315.31,242.55,40.59,41.61,40.52,621.0,239.0,260.0,1120.0,47.0,25.0,11.0,129.0,25.0,297.0,337.0,574.0,813.0,74.0,170.0,520.0,694.0,114.0,186.0,736.0,104.0,20.0,24.29,12.12,5.27,29.0,10.0,8.0,1122.98,860.0,861.32,102.0,6.9,4.97,5.73,37.75,37.82,37.27,456.65,37.8,27.81,105.71,14.66,246.7,201.09,36.98,38.0,37.18,508.0,180.0,177.0,865.0,27.0,20.0,7.0,118.0,22.0,228.0,273.0,481.0,661.0,95.0,220.0,455.0,663.0,112.0,159.0,556.0,108.0,24.0,17.75,13.3,6.76,13.0,7.0,7.0,856.89,688.0,684.82,77.0,5.71,4.17,5.5,34.3,34.31,33.91
DET,2008,DET,DET,Team Level,4on5,23,0.12,0.15,0.17,5811.0,15.35,1.86,0.72,1.87,0.39,4.72,11.7,1.86,1.86,1.86,20.0,5.0,2.0,27.0,1.0,0.0,0.0,2.0,2.0,8.0,12.0,19.0,24.0,2.0,4.0,47.0,30.0,14.0,8.0,16.0,7.0,2.0,0.54,0.82,0.51,0.0,0.0,1.0,27.0,25.0,25.0,8.0,0.17,0.0,0.0,1.77,1.77,1.76,78.77,13.8,6.6,15.95,2.82,45.83,24.58,13.07,13.8,13.07,92.0,26.0,36.0,154.0,18.0,14.0,7.0,14.0,7.0,40.0,25.0,74.0,100.0,9.0,18.0,58.0,18.0,6.0,27.0,77.0,22.0,19.0,2.63,2.48,8.69,2.0,5.0,11.0,154.0,118.0,118.0,1.0,1.74,5.78,5.82,9.14,9.14,8.82
DET,2008,DET,DET,Team Level,5on4,23,0.94,0.91,0.91,8438.0,143.35,16.58,12.29,30.6,4.85,91.39,49.21,16.08,16.58,16.08,163.0,55.0,61.0,279.0,22.0,13.0,4.0,40.0,5.0,70.0,68.0,141.0,196.0,6.0,12.0,96.0,20.0,8.0,21.0,162.0,37.0,19.0,4.44,4.38,7.76,6.0,4.0,12.0,279.0,218.0,218.0,3.0,3.16,2.3,2.97,15.99,15.99,15.56,14.63,1.14,0.62,2.05,0.42,4.24,12.59,1.14,1.14,1.14,17.0,5.0,4.0,26.0,1.0,0.0,0.0,5.0,0.0,4.0,12.0,16.0,21.0,7.0,14.0,72.0,35.0,14.0,12.0,17.0,5.0,0.0,0.48,0.67,0.0,0.0,1.0,0.0,26.0,22.0,22.0,9.0,0.15,0.0,0.0,1.23,1.23,1.23
