team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2011,NYR,NYR,Team Level,other,20,0.51,0.53,0.54,2224.0,23.26,4.76,1.7,4.58,0.94,13.28,6.74,4.58,4.76,4.58,25.0,7.0,20.0,52.0,6.0,2.0,1.0,7.0,1.0,13.0,3.0,19.0,26.0,0.0,0.0,26.0,11.0,5.0,3.0,19.0,6.0,7.0,0.64,0.68,3.43,1.0,1.0,4.0,52.0,32.0,32.0,1.0,0.49,0.48,0.66,4.6,4.6,4.54,19.58,4.54,1.17,3.57,0.59,10.88,6.25,4.49,4.54,4.49,18.0,9.0,20.0,47.0,4.0,2.0,1.0,3.0,0.0,11.0,7.0,14.0,23.0,1.0,2.0,29.0,7.0,1.0,7.0,19.0,2.0,6.0,0.52,0.23,3.78,0.0,0.0,4.0,47.0,27.0,27.0,5.0,0.33,0.97,0.97,3.89,3.89,3.86
NYR,2011,NYR,NYR,Team Level,all,20,0.49,0.49,0.5,75678.0,581.7,46.78,37.9,133.51,19.19,325.38,249.24,45.9,46.69,45.81,586.0,226.0,321.0,1133.0,43.0,32.0,4.0,140.0,16.0,271.0,310.0,543.0,769.0,83.0,186.0,581.0,665.0,124.0,117.0,636.0,136.0,40.0,16.68,15.53,14.57,14.0,16.0,13.0,1129.53,812.0,811.49,64.0,8.36,5.69,6.46,48.69,48.67,48.03,577.55,47.75,38.64,131.46,19.09,333.73,252.32,46.17,47.91,46.32,557.0,266.0,365.0,1188.0,41.0,38.0,6.0,111.0,24.0,296.0,313.0,516.0,782.0,86.0,194.0,620.0,565.0,109.0,179.0,663.0,111.0,49.0,17.93,13.27,16.55,12.0,13.0,16.0,1188.29,823.0,822.94,124.0,8.43,7.77,8.05,48.13,48.21,47.12
NYR,2011,NYR,NYR,Team Level,5on5,20,0.49,0.49,0.49,59007.0,442.12,30.23,27.09,104.33,14.18,246.71,194.45,29.72,30.14,29.63,445.0,172.0,245.0,862.0,26.0,20.0,1.0,109.0,12.0,206.0,244.0,419.0,591.0,78.0,176.0,439.0,595.0,98.0,95.0,494.0,101.0,22.0,13.16,11.41,5.66,9.0,13.0,4.0,858.53,617.0,616.49,52.0,5.5,3.42,4.01,31.72,31.7,31.28,443.07,31.5,28.01,106.26,14.77,255.87,194.59,30.76,31.66,30.9,417.0,214.0,281.0,912.0,26.0,27.0,5.0,85.0,20.0,226.0,247.0,391.0,605.0,78.0,178.0,459.0,494.0,96.0,138.0,521.0,83.0,27.0,14.19,9.97,7.34,8.0,11.0,7.0,912.29,631.0,630.94,98.0,5.69,5.55,5.55,31.64,31.72,31.35
NYR,2011,NYR,NYR,Team Level,4on5,20,0.11,0.14,0.17,6982.0,19.41,1.24,0.77,2.84,0.55,5.8,15.8,1.24,1.24,1.24,26.0,1.0,5.0,32.0,0.0,0.0,0.0,4.0,1.0,4.0,18.0,26.0,27.0,4.0,8.0,52.0,41.0,15.0,7.0,21.0,5.0,1.0,0.41,0.62,0.22,0.0,0.0,0.0,32.0,27.0,27.0,6.0,0.18,0.0,0.0,1.43,1.43,1.43,93.28,10.21,8.55,18.88,3.08,60.53,32.76,9.44,10.21,9.44,98.0,36.0,61.0,195.0,11.0,7.0,0.0,20.0,3.0,53.0,40.0,87.0,123.0,7.0,14.0,67.0,16.0,4.0,20.0,97.0,23.0,14.0,2.53,2.69,4.99,4.0,2.0,5.0,195.0,134.0,134.0,7.0,2.19,1.06,1.2,11.19,11.19,10.5
NYR,2011,NYR,NYR,Team Level,5on4,20,0.87,0.85,0.81,7465.0,96.91,10.55,8.34,21.75,3.52,59.58,32.26,10.35,10.55,10.35,90.0,46.0,51.0,187.0,11.0,10.0,2.0,20.0,2.0,48.0,45.0,79.0,125.0,1.0,2.0,64.0,18.0,6.0,12.0,102.0,24.0,10.0,2.47,2.82,5.26,4.0,2.0,5.0,187.0,136.0,136.0,5.0,2.18,1.79,1.79,10.94,10.94,10.79,21.62,1.52,0.91,2.75,0.65,6.45,18.72,1.49,1.52,1.49,24.0,7.0,3.0,34.0,0.0,2.0,0.0,3.0,1.0,6.0,19.0,24.0,31.0,0.0,0.0,65.0,48.0,8.0,14.0,26.0,3.0,2.0,0.7,0.37,0.44,0.0,0.0,0.0,34.0,31.0,31.0,14.0,0.22,0.18,0.32,1.41,1.41,1.41
VAN,2011,VAN,VAN,Team Level,other,5,0.4,0.53,0.55,887.0,12.57,1.91,1.19,2.58,0.45,6.83,3.04,1.55,1.91,1.55,14.0,2.0,4.0,20.0,0.0,2.0,0.0,4.0,0.0,7.0,3.0,14.0,16.0,2.0,7.0,12.0,3.0,1.0,1.0,9.0,3.0,4.0,0.4,0.48,1.03,0.0,0.0,0.0,20.0,16.0,16.0,1.0,0.29,0.54,0.77,1.44,1.44,1.09,10.07,2.87,0.83,2.23,0.35,4.11,2.61,2.54,2.87,2.54,12.0,1.0,5.0,18.0,2.0,4.0,0.0,2.0,0.0,2.0,3.0,10.0,11.0,1.0,5.0,14.0,4.0,1.0,3.0,5.0,2.0,6.0,0.21,0.29,2.37,0.0,0.0,2.0,18.0,13.0,13.0,1.0,0.26,1.17,1.17,1.96,1.96,1.85
VAN,2011,VAN,VAN,Team Level,all,5,0.42,0.52,0.51,18267.0,163.41,11.95,11.02,38.99,5.5,94.74,68.8,11.42,11.84,11.31,172.0,59.0,95.0,326.0,8.0,5.0,1.0,44.0,3.0,96.0,75.0,164.0,223.0,30.0,74.0,163.0,158.0,31.0,51.0,190.0,33.0,8.0,5.16,4.04,2.75,4.0,1.0,3.0,323.62,231.0,229.64,38.0,2.39,1.39,1.92,12.41,12.31,11.77,162.81,16.25,11.61,37.35,5.54,86.66,67.59,15.55,16.41,15.71,166.0,59.0,77.0,302.0,12.0,16.0,2.0,49.0,8.0,67.0,73.0,154.0,213.0,25.0,53.0,152.0,180.0,36.0,58.0,163.0,44.0,18.0,4.96,5.46,5.83,4.0,3.0,5.0,303.59,225.0,226.24,40.0,2.59,3.05,3.22,15.63,15.84,15.55
VAN,2011,VAN,VAN,Team Level,5on5,5,0.44,0.54,0.52,13210.0,124.68,7.85,7.92,30.65,4.15,71.67,54.77,7.72,7.74,7.61,130.0,47.0,75.0,252.0,5.0,2.0,0.0,35.0,2.0,73.0,60.0,125.0,172.0,24.0,59.0,115.0,138.0,28.0,37.0,149.0,26.0,2.0,4.12,3.11,0.63,3.0,1.0,1.0,249.62,177.0,175.64,28.0,1.62,0.04,0.35,9.11,9.01,8.88,117.37,10.17,7.89,27.6,4.0,61.02,51.31,9.92,10.33,10.07,114.0,48.0,51.0,213.0,6.0,8.0,1.0,38.0,8.0,50.0,52.0,108.0,156.0,22.0,44.0,102.0,155.0,27.0,42.0,121.0,32.0,9.0,3.92,4.02,2.23,2.0,2.0,2.0,214.59,162.0,163.24,33.0,1.64,1.44,1.61,10.2,10.41,10.32
VAN,2011,VAN,VAN,Team Level,4on5,5,0.03,0.07,0.09,2295.0,2.57,0.08,0.09,0.46,0.09,0.61,2.68,0.08,0.08,0.08,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,6.0,19.0,11.0,2.0,9.0,4.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,9.0,0.02,0.0,0.0,0.1,0.1,0.1,29.91,2.76,2.58,6.66,1.03,19.86,10.1,2.66,2.76,2.66,34.0,9.0,19.0,62.0,2.0,3.0,0.0,9.0,0.0,13.0,16.0,32.0,41.0,2.0,4.0,21.0,7.0,1.0,8.0,33.0,7.0,3.0,0.72,0.81,1.23,1.0,0.0,1.0,62.0,43.0,43.0,1.0,0.63,0.37,0.37,3.02,3.02,2.94
VAN,2011,VAN,VAN,Team Level,5on4,5,0.83,0.84,0.83,1875.0,23.59,2.12,1.83,5.3,0.81,15.64,8.31,2.08,2.12,2.08,24.0,10.0,15.0,49.0,3.0,1.0,1.0,5.0,1.0,15.0,9.0,21.0,31.0,1.0,2.0,17.0,6.0,0.0,4.0,28.0,4.0,2.0,0.57,0.45,1.09,1.0,0.0,2.0,49.0,34.0,34.0,0.0,0.45,0.81,0.81,1.76,1.76,1.7,5.45,0.44,0.31,0.86,0.16,1.66,3.57,0.43,0.44,0.43,6.0,1.0,2.0,9.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,15.0,14.0,7.0,5.0,4.0,3.0,0.0,0.11,0.33,0.0,1.0,1.0,0.0,9.0,7.0,7.0,5.0,0.07,0.07,0.07,0.44,0.44,0.44
