team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2010,NYR,NYR,Team Level,other,5,0.7,0.64,0.65,754.0,10.07,1.94,0.86,1.89,0.28,5.37,2.67,1.88,1.94,1.88,11.0,2.0,5.0,18.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,9.0,11.0,0.0,0.0,14.0,5.0,1.0,1.0,8.0,2.0,3.0,0.36,0.27,1.3,0.0,1.0,1.0,18.0,13.0,13.0,0.0,0.28,0.58,0.58,1.64,1.64,1.62,4.82,0.82,0.32,0.85,0.16,2.85,2.0,0.82,0.82,0.82,3.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,7.0,0.0,0.0,9.0,1.0,0.0,1.0,5.0,1.0,1.0,0.21,0.12,0.49,0.0,0.0,0.0,10.0,7.0,7.0,1.0,0.1,0.0,0.0,0.91,0.91,0.91
NYR,2010,NYR,NYR,Team Level,all,5,0.41,0.47,0.45,21060.0,141.3,10.76,9.45,33.2,4.62,76.05,60.92,10.49,10.83,10.54,148.0,47.0,104.0,299.0,8.0,9.0,3.0,59.0,4.0,55.0,60.0,140.0,187.0,19.0,38.0,179.0,211.0,40.0,39.0,154.0,32.0,9.0,4.04,3.92,2.8,2.0,4.0,2.0,298.32,195.0,195.07,23.0,2.13,1.66,1.85,11.05,11.1,11.0,173.9,15.35,11.81,38.78,5.57,95.34,74.15,14.95,15.38,14.99,156.0,85.0,103.0,344.0,13.0,12.0,5.0,37.0,5.0,73.0,101.0,143.0,228.0,23.0,46.0,184.0,181.0,25.0,57.0,177.0,50.0,14.0,4.88,6.09,4.38,3.0,6.0,4.0,343.52,241.0,241.22,44.0,2.55,3.19,3.19,14.71,14.76,14.58
NYR,2010,NYR,NYR,Team Level,5on5,5,0.37,0.46,0.44,16780.0,109.29,7.11,6.59,26.77,3.61,58.49,49.44,6.98,7.17,7.04,114.0,38.0,85.0,237.0,5.0,6.0,2.0,44.0,4.0,43.0,50.0,109.0,147.0,16.0,32.0,134.0,194.0,30.0,31.0,123.0,25.0,4.0,3.08,3.01,1.02,1.0,3.0,1.0,236.32,152.0,152.07,21.0,1.35,0.78,0.78,7.68,7.73,7.66,142.67,12.09,9.41,32.54,4.55,76.6,60.81,11.79,12.12,11.82,131.0,65.0,81.0,277.0,10.0,9.0,3.0,31.0,3.0,57.0,86.0,121.0,186.0,16.0,32.0,137.0,168.0,21.0,49.0,144.0,42.0,10.0,4.15,5.15,2.8,3.0,5.0,2.0,276.52,196.0,196.22,38.0,1.92,2.09,2.09,11.93,11.98,11.85
NYR,2010,NYR,NYR,Team Level,4on5,5,0.03,0.09,0.11,1494.0,2.86,0.06,0.08,0.29,0.07,0.87,2.63,0.06,0.06,0.06,3.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,2.0,4.0,18.0,8.0,5.0,2.0,4.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,2.0,0.02,0.0,0.0,0.08,0.08,0.08,22.83,2.02,1.9,5.0,0.76,15.08,8.25,1.96,2.02,1.96,19.0,14.0,17.0,50.0,3.0,2.0,2.0,5.0,2.0,13.0,8.0,16.0,30.0,5.0,10.0,15.0,5.0,0.0,5.0,25.0,6.0,2.0,0.51,0.71,0.8,0.0,1.0,2.0,50.0,33.0,33.0,3.0,0.48,0.8,0.8,1.7,1.7,1.66
NYR,2010,NYR,NYR,Team Level,5on4,5,0.8,0.85,0.84,2032.0,19.08,1.66,1.91,4.25,0.66,11.33,6.18,1.57,1.66,1.57,20.0,6.0,13.0,39.0,1.0,2.0,0.0,9.0,0.0,8.0,6.0,19.0,25.0,1.0,2.0,13.0,4.0,4.0,5.0,19.0,5.0,2.0,0.53,0.64,0.49,1.0,0.0,0.0,39.0,26.0,26.0,0.0,0.48,0.3,0.48,1.66,1.66,1.64,3.57,0.42,0.19,0.38,0.11,0.8,3.1,0.39,0.42,0.39,3.0,2.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,2.0,4.0,23.0,7.0,4.0,2.0,3.0,1.0,1.0,0.01,0.11,0.3,0.0,0.0,0.0,7.0,5.0,5.0,2.0,0.04,0.3,0.3,0.16,0.16,0.16
TBL,2010,TBL,TBL,Team Level,other,18,0.53,0.38,0.36,3008.0,20.11,6.05,0.98,3.25,0.66,9.47,8.6,5.48,6.05,5.48,20.0,9.0,12.0,41.0,5.0,2.0,1.0,2.0,1.0,8.0,11.0,15.0,24.0,2.0,4.0,36.0,21.0,4.0,3.0,17.0,2.0,10.0,0.47,0.3,5.28,1.0,0.0,4.0,41.0,29.0,29.0,1.0,0.27,1.2,1.2,5.12,5.12,5.11,35.65,5.45,2.75,7.41,1.27,22.96,12.15,4.99,5.45,4.99,40.0,12.0,16.0,68.0,5.0,3.0,1.0,9.0,1.0,17.0,17.0,35.0,47.0,0.0,0.0,37.0,10.0,1.0,5.0,39.0,7.0,6.0,1.38,0.86,3.21,1.0,0.0,4.0,68.0,52.0,52.0,2.0,0.78,1.28,0.83,5.4,5.4,5.01
TBL,2010,TBL,TBL,Team Level,all,18,0.52,0.45,0.46,66597.0,522.26,51.13,34.86,119.48,16.82,286.11,212.59,48.95,51.65,49.44,521.0,200.0,237.0,958.0,59.0,44.0,21.0,128.0,16.0,208.0,266.0,462.0,662.0,84.0,169.0,596.0,450.0,112.0,138.0,536.0,136.0,49.0,14.39,16.69,20.05,7.0,24.0,28.0,963.95,721.0,726.32,75.0,7.71,11.0,11.04,47.81,48.11,47.57,599.73,47.44,38.63,137.77,19.73,331.66,259.78,45.53,47.17,45.26,591.0,244.0,336.0,1171.0,45.0,41.0,7.0,152.0,22.0,269.0,306.0,546.0,790.0,77.0,157.0,608.0,483.0,72.0,160.0,667.0,126.0,42.0,18.09,14.94,14.4,14.0,14.0,17.0,1157.99,835.0,828.54,71.0,8.57,7.72,8.44,47.57,47.34,46.03
TBL,2010,TBL,TBL,Team Level,5on5,18,0.5,0.45,0.47,50223.0,404.21,30.85,25.95,96.65,12.91,221.23,166.41,30.18,31.36,30.67,403.0,151.0,180.0,734.0,37.0,30.0,13.0,99.0,11.0,161.0,216.0,366.0,517.0,69.0,139.0,440.0,397.0,90.0,109.0,421.0,113.0,20.0,11.78,13.58,5.49,5.0,20.0,12.0,739.95,554.0,559.32,68.0,5.37,5.59,5.62,30.6,30.9,30.61,456.98,30.41,27.27,107.9,14.81,245.97,204.63,29.79,30.14,29.53,445.0,186.0,271.0,902.0,34.0,29.0,6.0,115.0,16.0,203.0,234.0,411.0,597.0,62.0,127.0,434.0,437.0,58.0,114.0,512.0,96.0,23.0,13.19,11.46,5.75,12.0,12.0,10.0,888.99,631.0,624.54,53.0,5.61,4.76,5.47,30.55,30.31,30.01
TBL,2010,TBL,TBL,Team Level,4on5,18,0.1,0.12,0.13,7360.0,14.03,1.23,0.7,2.26,0.47,4.35,10.99,1.17,1.23,1.17,16.0,4.0,4.0,24.0,0.0,1.0,0.0,6.0,0.0,4.0,9.0,16.0,20.0,4.0,8.0,60.0,23.0,14.0,7.0,17.0,1.0,2.0,0.56,0.17,0.5,0.0,0.0,0.0,24.0,20.0,20.0,6.0,0.16,0.2,0.2,1.18,1.18,1.18,93.97,10.81,8.1,20.09,3.09,58.84,32.07,9.98,10.81,9.98,92.0,41.0,46.0,179.0,5.0,8.0,0.0,25.0,4.0,46.0,45.0,87.0,128.0,8.0,16.0,79.0,19.0,5.0,28.0,100.0,20.0,13.0,3.13,2.24,5.43,0.0,2.0,3.0,179.0,133.0,133.0,5.0,2.07,1.58,2.04,10.84,10.84,10.22
TBL,2010,TBL,TBL,Team Level,5on4,18,0.94,0.88,0.86,6006.0,83.91,13.0,7.24,17.32,2.78,51.05,26.6,12.13,13.0,12.13,82.0,36.0,41.0,159.0,17.0,11.0,7.0,21.0,4.0,35.0,30.0,65.0,101.0,9.0,18.0,60.0,9.0,4.0,19.0,81.0,20.0,17.0,1.58,2.64,8.78,1.0,4.0,12.0,159.0,118.0,118.0,0.0,1.91,4.01,4.01,10.9,10.9,10.67,13.13,0.77,0.5,2.36,0.55,3.88,10.93,0.77,0.77,0.77,14.0,5.0,3.0,22.0,1.0,1.0,0.0,3.0,1.0,3.0,10.0,13.0,18.0,7.0,14.0,58.0,17.0,8.0,13.0,16.0,3.0,0.0,0.4,0.37,0.0,1.0,0.0,0.0,22.0,19.0,19.0,11.0,0.12,0.1,0.1,0.79,0.79,0.78
