team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2016,NYR,NYR,Team Level,other,12,0.57,0.53,0.54,1584.0,19.48,3.94,1.3,4.47,0.67,10.75,5.86,3.91,3.94,3.91,19.0,8.0,12.0,39.0,3.0,0.0,0.0,6.0,1.0,10.0,7.0,16.0,24.0,1.0,2.0,27.0,9.0,1.0,6.0,16.0,7.0,4.0,0.47,0.82,2.65,1.0,0.0,2.0,39.0,27.0,27.0,4.0,0.35,0.0,0.0,4.29,4.29,4.25,16.81,3.03,1.13,3.45,0.55,9.4,5.44,2.95,3.03,2.95,16.0,7.0,11.0,34.0,6.0,3.0,3.0,2.0,0.0,8.0,4.0,10.0,17.0,1.0,2.0,19.0,9.0,2.0,7.0,14.0,5.0,4.0,0.54,0.55,1.94,1.0,1.0,4.0,34.0,23.0,23.0,6.0,0.3,1.14,1.14,2.19,2.19,2.16
NYR,2016,NYR,NYR,Team Level,all,12,0.5,0.48,0.5,46938.0,386.91,32.66,26.64,91.92,12.84,221.28,161.66,31.94,33.12,32.38,396.0,151.0,199.0,746.0,34.0,12.0,3.0,92.0,13.0,198.0,199.0,362.0,513.0,54.0,125.0,363.0,499.0,98.0,207.0,409.0,115.0,23.0,11.23,13.53,7.9,12.0,10.0,12.0,759.92,547.0,556.37,135.0,5.82,2.47,2.72,35.77,36.22,35.59,401.36,32.77,25.35,96.88,13.32,216.66,165.02,31.53,32.41,31.18,396.0,154.0,249.0,799.0,30.0,39.0,7.0,87.0,13.0,180.0,201.0,366.0,520.0,55.0,127.0,407.0,450.0,90.0,168.0,424.0,90.0,36.0,11.05,10.74,10.99,13.0,7.0,10.0,786.07,550.0,544.49,117.0,5.55,8.53,8.53,29.79,29.57,29.05
NYR,2016,NYR,NYR,Team Level,5on5,12,0.51,0.47,0.49,37969.0,303.63,23.33,20.0,74.75,9.99,171.28,127.64,22.85,23.79,23.29,309.0,118.0,163.0,590.0,25.0,8.0,2.0,69.0,12.0,153.0,161.0,284.0,402.0,39.0,92.0,278.0,463.0,79.0,175.0,325.0,88.0,14.0,9.23,10.39,3.71,10.0,8.0,7.0,603.92,427.0,436.37,117.0,4.13,1.74,1.99,25.48,25.93,25.56,321.77,22.39,19.28,81.23,10.79,174.38,133.92,21.75,22.02,21.4,316.0,126.0,210.0,652.0,20.0,27.0,3.0,70.0,11.0,149.0,165.0,296.0,422.0,41.0,96.0,308.0,418.0,74.0,141.0,356.0,64.0,22.0,8.91,7.76,5.73,12.0,4.0,4.0,639.07,442.0,436.49,102.0,3.99,5.33,5.33,21.06,20.84,20.61
NYR,2016,NYR,NYR,Team Level,4on5,12,0.14,0.18,0.21,3765.0,11.96,1.03,0.65,1.78,0.38,3.95,9.21,1.03,1.03,1.03,14.0,3.0,3.0,20.0,3.0,1.0,0.0,1.0,0.0,1.0,11.0,11.0,14.0,1.0,2.0,29.0,19.0,15.0,14.0,12.0,4.0,1.0,0.27,0.53,0.23,1.0,1.0,1.0,20.0,17.0,17.0,13.0,0.15,0.17,0.17,1.02,1.02,1.02,47.56,6.26,4.22,9.71,1.52,28.54,14.75,5.8,6.26,5.8,50.0,15.0,27.0,92.0,4.0,7.0,1.0,13.0,1.0,18.0,22.0,46.0,61.0,4.0,8.0,41.0,8.0,4.0,11.0,38.0,19.0,8.0,1.19,2.21,2.86,0.0,2.0,2.0,92.0,65.0,65.0,1.0,1.09,1.61,1.61,5.74,5.74,5.49
NYR,2016,NYR,NYR,Team Level,5on4,12,0.8,0.82,0.79,3620.0,51.85,4.35,4.69,10.92,1.79,35.29,18.95,4.15,4.35,4.15,54.0,22.0,21.0,97.0,3.0,3.0,1.0,16.0,0.0,34.0,20.0,51.0,73.0,13.0,29.0,29.0,8.0,3.0,12.0,56.0,16.0,4.0,1.26,1.78,1.31,0.0,1.0,2.0,97.0,76.0,76.0,1.0,1.19,0.56,0.56,4.99,4.99,4.75,15.22,1.09,0.71,2.49,0.47,4.34,10.9,1.03,1.09,1.03,14.0,6.0,1.0,21.0,0.0,2.0,0.0,2.0,1.0,5.0,10.0,14.0,20.0,9.0,21.0,39.0,15.0,10.0,9.0,16.0,2.0,2.0,0.41,0.22,0.46,0.0,0.0,0.0,21.0,20.0,20.0,8.0,0.17,0.46,0.46,0.8,0.8,0.79
CHI,2016,CHI,CHI,Team Level,other,4,0.13,0.56,0.55,417.0,4.08,0.27,0.3,0.76,0.13,2.71,1.83,0.26,0.27,0.26,4.0,2.0,3.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,0.0,2.0,5.0,1.0,0.0,0.17,0.1,0.0,0.0,0.0,0.0,9.0,6.0,6.0,1.0,0.07,0.0,0.0,0.34,0.34,0.34,3.85,1.73,0.14,0.67,0.09,1.21,1.15,1.64,1.73,1.64,2.0,3.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,6.0,1.0,2.0,2.0,3.0,0.0,2.0,0.12,0.0,1.61,0.0,0.0,1.0,7.0,5.0,5.0,2.0,0.04,0.0,0.0,1.77,1.77,1.67
CHI,2016,CHI,CHI,Team Level,all,4,0.43,0.5,0.51,15404.0,120.11,9.13,7.83,26.83,3.71,68.03,50.47,8.78,9.01,8.66,126.0,40.0,75.0,241.0,3.0,6.0,0.0,36.0,3.0,74.0,44.0,123.0,163.0,10.0,20.0,120.0,93.0,35.0,48.0,134.0,25.0,7.0,3.63,2.77,2.73,0.0,1.0,2.0,234.52,166.0,162.63,37.0,1.67,1.72,1.72,9.08,8.95,8.8,118.5,12.14,7.54,27.89,3.62,62.17,47.63,11.59,12.32,11.74,124.0,37.0,79.0,240.0,13.0,12.0,4.0,21.0,3.0,47.0,65.0,111.0,148.0,9.0,20.0,134.0,138.0,44.0,57.0,120.0,29.0,12.0,3.42,3.58,5.14,2.0,5.0,6.0,246.54,161.0,164.69,44.0,1.59,3.33,3.33,10.41,10.46,10.25
CHI,2016,CHI,CHI,Team Level,5on5,4,0.45,0.5,0.5,13207.0,103.39,7.33,6.6,23.65,3.22,57.66,44.54,7.01,7.21,6.88,111.0,32.0,64.0,207.0,1.0,6.0,0.0,32.0,2.0,62.0,40.0,110.0,142.0,10.0,20.0,103.0,87.0,33.0,40.0,116.0,22.0,5.0,3.13,2.47,1.74,0.0,1.0,0.0,200.52,143.0,139.63,30.0,1.36,1.72,1.72,6.98,6.85,6.72,105.9,8.89,6.77,25.46,3.3,56.05,43.54,8.46,9.07,8.61,113.0,31.0,67.0,211.0,11.0,11.0,4.0,20.0,3.0,42.0,57.0,102.0,133.0,9.0,20.0,116.0,134.0,39.0,50.0,108.0,29.0,7.0,3.0,3.58,2.3,2.0,5.0,4.0,217.54,144.0,147.69,38.0,1.4,2.81,2.81,7.47,7.53,7.42
CHI,2016,CHI,CHI,Team Level,4on5,4,0.0,0.05,0.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01,1.52,0.61,1.63,0.22,4.67,2.36,1.49,1.52,1.49,8.0,3.0,9.0,20.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,7.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,8.0,0.0,3.0,0.3,0.0,1.22,0.0,0.0,1.0,20.0,11.0,11.0,1.0,0.15,0.52,0.52,1.15,1.15,1.15
CHI,2016,CHI,CHI,Team Level,5on4,4,1.0,0.92,0.94,907.0,12.64,1.53,0.94,2.42,0.36,7.65,4.11,1.51,1.53,1.51,11.0,6.0,7.0,24.0,2.0,0.0,0.0,3.0,0.0,10.0,2.0,9.0,15.0,0.0,0.0,7.0,1.0,0.0,0.0,13.0,2.0,2.0,0.33,0.2,1.0,0.0,0.0,2.0,24.0,17.0,17.0,0.0,0.24,0.0,0.0,1.76,1.76,1.75,0.75,0.01,0.02,0.13,0.02,0.23,0.59,0.01,0.01,0.01,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,3.0,3.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.01,0.0,0.0,0.01,0.01,0.01
