team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
LAK,2009,LAK,2009030173,LAK,VAN,HOME,20100419,Team Level,other,0.0,0.3333,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746,0.154,0.073,0.161,0.036,0.448,0.128,0.154,0.154,0.154,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.026,0.0,0.0,0.18,0.18,0.18
LAK,2009,LAK,2009030173,LAK,VAN,HOME,20100419,Team Level,all,0.6061,0.377,0.4074,3600.0,24.042,2.856,1.712,5.555,0.792,12.928,9.157,2.653,2.835,2.632,23.0,10.0,13.0,46.0,5.0,3.0,2.0,4.0,0.0,14.0,7.0,18.0,28.0,4.0,8.0,22.0,48.0,9.0,16.0,22.0,8.0,3.0,0.648,0.972,1.237,3.0,0.0,2.0,46.662,33.0,33.239,15.0,0.37,0.996,0.996,2.231,2.206,2.149,34.056,1.856,2.046,8.326,1.157,19.583,15.032,1.848,1.91,1.902,28.0,20.0,28.0,76.0,3.0,2.0,0.0,3.0,1.0,23.0,16.0,25.0,45.0,3.0,6.0,39.0,39.0,4.0,10.0,40.0,7.0,1.0,0.772,0.827,0.256,2.0,1.0,0.0,76.566,48.0,48.765,3.0,0.447,0.136,0.136,2.168,2.222,2.211
LAK,2009,LAK,2009030173,LAK,VAN,HOME,20100419,Team Level,5on5,0.5044,0.3725,0.3881,3009.0,18.686,1.671,1.264,4.549,0.64,10.408,7.468,1.66,1.65,1.639,16.0,10.0,12.0,38.0,2.0,1.0,0.0,4.0,0.0,13.0,6.0,14.0,24.0,4.0,8.0,20.0,46.0,6.0,15.0,18.0,7.0,1.0,0.526,0.866,0.279,2.0,0.0,0.0,38.662,26.0,26.239,15.0,0.261,0.038,0.038,1.894,1.869,1.854,29.312,1.642,1.638,7.176,0.962,16.185,13.397,1.634,1.696,1.688,25.0,16.0,23.0,64.0,3.0,2.0,0.0,3.0,1.0,20.0,12.0,22.0,38.0,3.0,6.0,32.0,38.0,4.0,7.0,34.0,6.0,1.0,0.712,0.673,0.256,2.0,1.0,0.0,64.566,41.0,41.765,3.0,0.337,0.136,0.136,1.843,1.897,1.886
LAK,2009,LAK,2009030173,LAK,VAN,HOME,20100419,Team Level,4on5,0.3103,0.0909,0.1429,360.0,0.773,0.027,0.018,0.126,0.024,0.221,0.583,0.027,0.027,0.027,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.004,0.0,0.0,0.03,0.03,0.03,3.997,0.06,0.335,0.99,0.159,2.95,1.506,0.06,0.06,0.06,2.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,0.085,0.0,0.0,0.145,0.145,0.145
LAK,2009,LAK,2009030173,LAK,VAN,HOME,20100419,Team Level,5on4,1.0,1.0,1.0,110.0,4.582,1.159,0.429,0.879,0.128,2.299,1.106,0.967,1.159,0.967,6.0,0.0,0.0,6.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.095,0.106,0.958,1.0,0.0,2.0,6.0,6.0,6.0,0.0,0.105,0.958,0.958,0.307,0.307,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAK,2009,LAK,2009030174,LAK,VAN,HOME,20100421,Team Level,other,0.1885,0.5,0.4,195.0,1.492,0.281,0.087,0.305,0.054,0.722,0.551,0.274,0.281,0.274,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.028,0.0,0.253,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.026,0.0,0.0,0.307,0.307,0.299,1.841,1.21,0.1,0.127,0.052,0.62,0.892,1.21,1.21,1.21,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.162,1.048,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.027,0.0,0.0,1.237,1.237,1.237
LAK,2009,LAK,2009030174,LAK,VAN,HOME,20100421,Team Level,all,0.408,0.3983,0.3936,3600.0,27.696,2.684,1.801,6.105,0.848,14.742,10.821,2.663,2.634,2.614,26.0,11.0,10.0,47.0,4.0,0.0,0.0,7.0,1.0,14.0,11.0,22.0,33.0,4.0,8.0,35.0,46.0,9.0,17.0,24.0,11.0,2.0,0.786,1.439,0.458,0.0,3.0,1.0,46.618,37.0,36.807,10.0,0.397,0.0,0.0,3.081,3.023,3.001,40.596,3.895,2.278,9.031,1.262,22.065,18.468,3.875,3.948,3.926,37.0,20.0,14.0,71.0,6.0,2.0,0.0,13.0,1.0,16.0,19.0,31.0,51.0,4.0,8.0,35.0,26.0,3.0,13.0,49.0,4.0,4.0,1.166,0.567,2.162,3.0,0.0,3.0,71.267,57.0,56.991,7.0,0.499,0.229,0.229,4.165,4.219,4.196
LAK,2009,LAK,2009030174,LAK,VAN,HOME,20100421,Team Level,5on5,0.5365,0.3913,0.3944,2684.0,21.06,1.75,1.334,4.844,0.638,11.087,8.347,1.746,1.7,1.696,20.0,8.0,8.0,36.0,1.0,0.0,0.0,6.0,0.0,13.0,8.0,19.0,27.0,4.0,8.0,26.0,39.0,7.0,14.0,20.0,7.0,1.0,0.648,0.896,0.205,0.0,1.0,0.0,35.618,28.0,27.807,10.0,0.276,0.0,0.0,2.026,1.968,1.964,30.924,1.512,1.681,7.295,0.989,16.978,14.544,1.495,1.565,1.547,28.0,15.0,13.0,56.0,3.0,2.0,0.0,12.0,1.0,13.0,12.0,25.0,40.0,4.0,8.0,25.0,20.0,3.0,12.0,40.0,3.0,0.0,1.108,0.404,0.0,3.0,0.0,0.0,56.267,43.0,42.991,7.0,0.34,0.229,0.229,1.624,1.677,1.658
LAK,2009,LAK,2009030174,LAK,VAN,HOME,20100421,Team Level,4on5,0.006,0.0833,0.0909,383.0,0.734,0.007,0.014,0.141,0.024,0.26,0.554,0.007,0.007,0.007,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.003,0.0,0.0,0.011,0.011,0.011,7.12,1.162,0.477,1.501,0.199,4.249,2.412,1.158,1.162,1.158,6.0,4.0,1.0,11.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,8.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.0,2.0,0.047,0.0,1.115,0.0,0.0,2.0,11.0,10.0,10.0,0.0,0.127,0.0,0.0,1.289,1.289,1.285
LAK,2009,LAK,2009030174,LAK,VAN,HOME,20100421,Team Level,5on4,0.9818,0.875,0.8571,338.0,4.41,0.646,0.366,0.815,0.132,2.673,1.368,0.636,0.646,0.636,5.0,1.0,1.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,0.103,0.543,0.0,0.0,2.0,0.0,7.0,6.0,6.0,0.0,0.092,0.0,0.0,0.738,0.738,0.728,0.711,0.012,0.02,0.108,0.023,0.217,0.621,0.012,0.012,0.012,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.016,0.016,0.016
